Count,Name,APREF,BUILDING#,FLOOR,Position X,Position Y
1,AP Target,REF_B0_F0_1,00,00,0.00,0.00
1,AP Target,REF_B0_F0_2,00,00,256.50,38.00

Count,Name,FLOOR#,POI#,POI_CAT,BUILDING#,VISIBILTY,End X,End Y,Start X,Start Y
1,IP_POI#,00,PSU00000001,Staff Quarters,00,N,,,,
1,Line,,,,,,112.53,29.00,107.79,29.00
1,Line,,,,,,107.79,29.00,107.79,30.76
1,Line,,,,,,107.79,30.76,112.53,30.76
1,Line,,,,,,112.53,30.76,112.53,29.00

1,IP_POI#,00,PSU00000002,Staff Quarters,00,N,,,,
1,Line,,,,,,112.60,26.89,108.94,26.89
1,Line,,,,,,108.94,26.89,108.94,28.65
1,Line,,,,,,108.94,28.65,112.60,28.65
1,Line,,,,,,112.60,28.65,112.60,26.89

1,IP_POI#,00,PSU00000003,Staff Quarters,00,N,,,,
1,Line,,,,,,111.99,18.26,108.33,18.26
1,Line,,,,,,108.33,18.26,108.33,20.02
1,Line,,,,,,108.33,20.02,111.99,20.02
1,Line,,,,,,111.99,20.02,111.99,18.26

1,IP_POI#,00,PSU00000004,Staff Quarters,00,N,,,,
1,Line,,,,,,112.01,16.18,107.70,16.18
1,Line,,,,,,112.01,17.95,112.01,16.18
1,Line,,,,,,107.70,17.95,112.01,17.95
1,Line,,,,,,107.70,16.18,107.70,17.95

1,IP_POI#,00,PSU00000005,Staff Quarters,00,N,,,,
1,Line,,,,,,112.65,7.25,107.79,7.25
1,Line,,,,,,107.79,7.25,107.79,9.02
1,Line,,,,,,107.79,9.02,112.65,9.02
1,Line,,,,,,112.65,9.02,112.65,7.25

1,IP_POI#,00,PSU00000006,Staff Quarters,00,N,,,,
1,Line,,,,,,117.75,8.67,114.09,8.67
1,Line,,,,,,117.75,10.43,117.75,8.67
1,Line,,,,,,114.09,10.43,117.75,10.43
1,Line,,,,,,114.09,8.67,114.09,10.43

1,IP_POI#,00,PSU00000007,Staff Quarters,00,N,,,,
1,Line,,,,,,117.75,10.95,114.09,10.95
1,Line,,,,,,117.75,12.71,117.75,10.95
1,Line,,,,,,114.09,12.71,117.75,12.71
1,Line,,,,,,114.09,10.95,114.09,12.71

