Count,Name,APREF,BUILDING,FLOOR,Position X,Position Y,SHOP#,SHOP_NAME,WB,BUILDING#
1,AP Target,REF_B0_F0_2,,00,256.50,38.00,,,,00
1,AP Target,REF_B0_F0_1,,00,0.00,0.00,,,,00
1,AP Points,0537,00,00,56.65,29.33,,Central Store,,
1,AP Points,0536,00,00,85.92,6.29,,Workshop,,
1,AP Points,0535,00,00,100.34,27.20,,Engine Workshop,,
1,AP Points,0434,00,00,104.11,7.31,,Elect. Workshop,,
1,AP Points,0433,00,00,113.26,22.73,,Lift,,
1,AP Points,0432,00,00,118.13,7.74,,Staff,,
1,AP Points,0431,00,00,118.23,14.68,,Staff,,
1,AP Points,0430,00,00,118.46,23.50,,Staff,,
1,AP Points,0429,00,00,118.96,30.22,,Staff,,
1,AP Points,0428,00,00,126.51,8.06,,Staff,,
1,AP Points,0427,00,00,126.40,15.74,,Staff,,
1,AP Points,0426,00,00,126.22,24.60,,Staff,,
1,AP Points,0425,00,00,133.57,8.12,,Staff,,
1,AP Points,0424,00,00,129.17,30.01,,Staff,,
1,AP Points,0423,00,00,135.55,15.80,,Staff,,
1,AP Points,0422,00,00,135.62,25.84,,Staff,,
1,AP Points,0321,00,00,143.23,7.85,,Staff,,
1,AP Points,0320,00,00,143.13,13.32,,Staff,,
1,AP Points,0319,00,00,143.23,20.49,,Staff,,
1,AP Points,0318,00,00,143.36,30.15,,Staff,,
1,AP Points,0317,00,00,151.17,10.31,,Staff,,
1,AP Points,0316,00,00,151.37,22.44,,Staff,,
1,AP Points,0315,00,00,155.52,7.92,,Staff,,
1,AP Points,0314,00,00,154.90,30.10,,Staff,,
1,AP Points,0313,00,00,161.10,15.51,,Staff,,
1,AP Points,0312,00,00,161.10,26.79,,Staff,,
1,AP Points,0311,00,00,166.84,10.59,,Staff,,
1,AP Points,0310,00,00,167.04,20.45,,Staff,,
1,AP Points,0309,00,00,167.46,29.21,,Staff,,
1,AP Points,0307,00,00,173.97,28.15,,Staff,,
1,AP Points,0306,00,00,177.61,13.12,,Staff,,
1,AP Points,0305,00,00,177.57,26.91,,Staff,,
1,AP Points,0204,00,00,185.99,12.79,,Staff,,
1,AP Points,0203,00,00,186.11,25.80,,Staff,,
1,AP Points,0202,00,00,191.08,18.25,,Staff,,
1,AP Points,0201,00,00,193.02,23.97,,Staff,,
1,AP Points,0008,00,00,171.76,9.26,,Staff,,
