Count,Name,APREF,BUILDING,FLOOR,Position X,Position Y,SHOP#,SHOP_NAME,WB,BUILDING#
1,AP Target,REF_B0_F6_2,,06,256.50,38.00,,,,00
1,AP Target,REF_B0_F6_1,,06,0.00,0.00,,,,00
1,AP Points,6661,00,06,17.13,13.52,6630,Cabin,,
1,AP Points,6660,00,06,16.17,24.10,6126,Cabin,,
1,AP Points,6659,00,06,22.01,9.37,6626,Cabin,,
1,AP Points,6658,00,06,22.08,18.63,6130,Cabin,,
1,AP Points,6657,00,06,21.84,28.42,6122,Cabin,,
1,AP Points,6656,00,06,26.92,5.19,6622,Cabin,,
1,AP Points,6655,00,06,26.71,32.87,6118,Cabin,,
1,AP Points,6652,00,06,43.08,9.37,6610,Cabin,,
1,AP Points,6651,00,06,43.27,28.48,6106,Cabin,,
1,AP Points,6550,00,06,51.49,5.35,6602,Cabin,,
1,AP Points,6549,00,06,50.75,32.44,6100,Cabin,,
1,AP Points,6548,00,06,55.66,9.35,6600,Cabin,,
1,AP Points,6547,00,06,55.64,28.52,6096,Cabin,,
1,AP Points,6546,00,06,66.46,9.40,6594,Cabin,,
1,AP Points,6545,00,06,66.39,28.63,6087,Cabin,,
1,AP Points,6544,00,06,70.66,4.93,6590,Cabin,,
1,AP Points,6543,00,06,70.85,32.30,6086,Cabin,,
1,AP Points,6542,00,06,77.28,9.54,6583,Cabin,,
1,AP Points,6541,00,06,76.81,28.54,6081,Cabin,,
1,AP Points,6540,00,06,82.25,4.81,6580,Cabin,,
1,AP Points,6539,00,06,82.10,32.49,6078,Cabin,,
1,AP Points,6538,00,06,88.17,9.35,6576,Cabin,,
1,AP Points,6537,00,06,87.62,28.57,6074,Cabin,,
1,AP Points,6436,00,06,98.94,9.31,6568,Cabin,,
1,AP Points,6435,00,06,98.47,28.54,6066,Cabin,,
1,AP Points,6434,00,06,108.41,5.15,6562,Cabin,,
1,AP Points,6433,00,06,106.25,32.85,6062,Cabin,,
1,AP Points,6432,00,06,117.77,5.09,,Centrum,,
1,AP Points,6431,00,06,120.08,32.59,,Photo Gallery,,
1,AP Points,6430,00,06,126.98,11.86,,Centrum,,
1,AP Points,6429,00,06,133.07,5.20,6552,Cabin,,
1,AP Points,6428,00,06,132.81,32.51,6054,Cabin,,
1,AP Points,6327,00,06,140.22,9.36,6547,Cabin,,
1,AP Points,6326,00,06,140.33,28.65,6047,Cabin,,
1,AP Points,6325,00,06,144.97,5.26,6546,Cabin,,
1,AP Points,6324,00,06,144.71,33.03,6046,Cabin,,
1,AP Points,6323,00,06,150.98,9.44,6541,Cabin,,
1,AP Points,6322,00,06,151.03,28.42,6040,Cabin,,
1,AP Points,6321,00,06,157.32,5.51,6536,Cabin,,
1,AP Points,6320,00,06,161.88,9.47,6531,Cabin,,
1,AP Points,6319,00,06,161.67,28.59,6034,Cabin,,
1,AP Points,6318,00,06,165.96,32.62,6030,Cabin,,
1,AP Points,6317,00,06,172.28,9.47,6526,Cabin,,
1,AP Points,6316,00,06,172.89,28.53,6024,Cabin,,
1,AP Points,6315,00,06,180.45,9.62,P6518,Cabin,,
1,AP Points,6314,00,06,181.06,28.50,6018,Cabin,,
1,AP Points,6213,00,06,189.29,9.37,6512,Cabin,,
1,AP Points,6212,00,06,189.78,28.65,6011,Cabin,,
1,AP Points,6211,00,06,195.76,5.10,6510,Cabin,,
1,AP Points,6210,00,06,195.63,32.51,6008,Cabin,,
1,AP Points,6209,00,06,199.14,9.41,6504,Cabin,,
1,AP Points,6208,00,06,199.08,28.53,6605,Cabin,,
1,AP Points,6207,00,06,206.51,9.55,6500,Cabin,,
1,AP Points,6206,00,06,206.77,27.98,6600,Cabin,,
1,AP Points,6205,00,06,212.31,5.57,,,,
1,AP Points,6204,00,06,212.48,32.01,,,,
1,AP Points,6203,00,06,216.04,10.82,,,,
1,AP Points,6202,00,06,222.81,17.80,,,,
1,AP Points,6201,00,06,216.15,27.21,,,,
