Count,Name,APREF,BUILDING,FLOOR,Position X,Position Y,SHOP#,SHOP_NAME,WB,BUILDING#
1,AP Target,REF_B0_F10_2,,10,256.50,38.00,,,,00
1,AP Target,REF_B0_F10_1,,10,0.00,0.00,,,,00
1,AP Points,10522,00,10,32.95,19.02,,The Wall,,
1,AP Points,10521,00,10,37.07,8.23,,Jogging track,,
1,AP Points,10520,00,10,37.21,29.66,,Jogging track,,
1,AP Points,10519,00,10,38.55,6.52,,Jogging track,,
1,AP Points,10518,00,10,38.22,31.36,,Jogging track,,
1,AP Points,10517,00,10,56.07,9.37,,Jogging track,,
1,AP Points,10516,00,10,56.08,28.76,,Jogging track,,
1,AP Points,10515,00,10,57.25,7.14,,Jogging track,,
1,AP Points,10514,00,10,57.23,30.72,,Jogging track,,
1,AP Points,10413,00,10,100.10,6.59,,Jogging track,,
1,AP Points,10412,00,10,99.40,31.25,,Jogging track,,
1,AP Points,10411,00,10,109.89,19.03,,Centrum,,
1,AP Points,10310,00,10,172.23,15.50,,Deck Bar,,
1,AP Points,10309,00,10,172.39,23.30,,Deck,,
1,AP Points,10308,00,10,177.90,11.04,,Deck Bar,,
1,AP Points,10307,00,10,178.88,27.73,,Sports Deck,,
1,AP Points,10206,00,10,188.35,26.42,,Kids Club,,
1,AP Points,10205,00,10,191.22,13.56,,The Hide Out,,
1,AP Points,10204,00,10,197.83,28.98,,Sports Deck,,
1,AP Points,10203,00,10,203.39,8.64,,Sports Deck,,
1,AP Points,10202,00,10,205.61,10.73,,Observatory Deck,,
1,AP Points,10201,00,10,205.51,27.36,,Observatory Deck,,
