Count,Name,APREF,BUILDING#,FLOOR,Position X,Position Y
1,AP Target,REF_B0_F10_1,00,10,0.00,0.00
1,AP Target,REF_B0_F10_2,00,10,256.50,38.00

Count,Name,FLOOR#,POI#,POI_CAT,BUILDING#,VISIBILTY,End X,End Y,Start X,Start Y
1,IP_POI#,10,PQU0010D10QUPF,PORT FRONT,00,N,,,,
1,Line,,,,,,213.82,31.03,215.83,27.83
1,Line,,,,,,215.83,27.83,216.42,24.97
1,Line,,,,,,210.76,32.17,213.82,31.03
1,Line,,,,,,190.93,36.39,194.65,33.20
1,Line,,,,,,194.65,33.20,210.76,32.17
1,Line,,,,,,217.07,19.23,126.30,19.20
1,Line,,,,,,126.30,19.20,126.30,36.60
1,Line,,,,,,126.30,36.60,190.93,36.39
1,Line,,,,,,216.42,24.97,217.02,22.03
1,Line,,,,,,217.02,22.03,217.07,19.23

1,IP_POI#,10,PQU0010D10QUPR,PORT REAR,00,N,,,,
1,Line,,,,,,34.03,34.50,91.29,34.38
1,Line,,,,,,30.58,33.51,34.03,34.50
1,Line,,,,,,125.90,36.60,125.90,19.20
1,Line,,,,,,91.29,34.38,94.57,36.60
1,Line,,,,,,94.57,36.60,125.90,36.60
1,Line,,,,,,29.16,31.69,30.58,33.51
1,Line,,,,,,26.70,19.31,26.89,21.06
1,Line,,,,,,125.90,19.20,26.70,19.31
1,Line,,,,,,26.89,21.06,27.08,22.81
1,Line,,,,,,27.62,25.81,29.16,31.69
1,Line,,,,,,27.08,22.81,27.62,25.81

1,IP_POI#,10,PQU0010D10QUSBF,STARBOARD FRONT,00,N,,,,
1,Line,,,,,,194.65,4.80,210.76,5.83
1,Line,,,,,,210.76,5.83,213.82,6.97
1,Line,,,,,,190.93,1.61,194.65,4.80
1,Line,,,,,,126.30,18.80,126.30,1.40
1,Line,,,,,,126.30,1.40,190.93,1.61
1,Line,,,,,,217.02,15.97,217.07,18.77
1,Line,,,,,,217.07,18.77,126.30,18.80
1,Line,,,,,,215.83,10.17,216.42,13.03
1,Line,,,,,,213.82,6.97,215.83,10.17
1,Line,,,,,,216.42,13.03,217.02,15.97

1,IP_POI#,10,PQU0010D10QUSBR,STARBOARD REAR,00,N,,,,
1,Line,,,,,,27.62,12.19,29.16,6.31
1,Line,,,,,,29.16,6.31,30.58,4.49
1,Line,,,,,,91.29,3.62,94.57,1.40
1,Line,,,,,,125.90,1.40,125.90,18.80
1,Line,,,,,,94.57,1.40,125.90,1.40
1,Line,,,,,,34.03,3.50,91.29,3.62
1,Line,,,,,,26.70,18.69,26.89,16.94
1,Line,,,,,,125.90,18.80,26.70,18.69
1,Line,,,,,,26.89,16.94,27.08,15.19
1,Line,,,,,,30.58,4.49,34.03,3.50
1,Line,,,,,,27.08,15.19,27.62,12.19
