Count,Name,APREF,BUILDING#,FLOOR,Position X,Position Y
1,AP Target,REF_B0_F5_1,00,05,0.00,0.00
1,AP Target,REF_B0_F5_2,00,05,256.50,38.00

Count,Name,FLOOR#,POI#,POI_CAT,BUILDING#,VISIBILTY,End X,End Y,Start X,Start Y
1,IP_POI#,04,PQU0004D4QUPR,PORT REAR,00,N,,,,
1,Line,,,,,,7.33,28.39,9.88,30.79
1,Line,,,,,,5.17,25.51,7.33,28.39
1,Line,,,,,,13.75,33.14,17.99,34.31
1,Line,,,,,,9.88,30.79,13.75,33.14
1,Line,,,,,,3.50,22.26,5.17,25.51
1,Line,,,,,,125.90,34.30,125.90,19.20
1,Line,,,,,,125.90,19.20,2.48,19.19
1,Line,,,,,,2.48,19.19,3.50,22.26
1,Line,,,,,,17.99,34.31,125.90,34.30

1,IP_POI#,05,PQU0005D5QUPF,PORT FRONT,00,N,,,,
1,Line,,,,,,224.20,33.16,232.92,31.42
1,Line,,,,,,232.92,31.42,241.26,29.33
1,Line,,,,,,210.39,34.24,218.58,33.90
1,Line,,,,,,201.08,34.00,210.39,34.24
1,Line,,,,,,218.58,33.90,224.20,33.16
1,Line,,,,,,241.26,29.33,254.46,24.67
1,Line,,,,,,126.30,34.31,190.39,34.28
1,Line,,,,,,261.31,19.26,126.30,19.20
1,Line,,,,,,126.30,19.20,126.30,34.31
1,Line,,,,,,254.46,24.67,261.31,19.26
1,Line,,,,,,190.39,34.28,201.08,34.00

1,IP_POI#,05,PQU0005D5QUSBF,STARBOARD FRONT,00,N,,,,
1,Line,,,,,,201.08,4.00,210.39,3.76
1,Line,,,,,,218.58,4.10,224.20,4.84
1,Line,,,,,,126.30,3.69,190.39,3.72
1,Line,,,,,,126.30,18.80,126.30,3.69
1,Line,,,,,,190.39,3.72,201.08,4.00
1,Line,,,,,,210.39,3.76,218.58,4.10
1,Line,,,,,,254.46,13.33,261.31,18.74
1,Line,,,,,,261.31,18.74,126.30,18.80
1,Line,,,,,,241.26,8.67,254.46,13.33
1,Line,,,,,,224.20,4.84,232.92,6.58
1,Line,,,,,,232.92,6.58,241.26,8.67

1,IP_POI#,05,PQU0005D5QUSBR,STARBOARD REAR,00,N,,,,
1,Line,,,,,,13.43,4.39,17.99,3.69
1,Line,,,,,,9.87,6.34,13.43,4.39
1,Line,,,,,,125.90,3.70,125.90,18.80
1,Line,,,,,,17.99,3.69,125.90,3.70
1,Line,,,,,,6.38,9.24,9.87,6.34
1,Line,,,,,,125.90,18.80,1.34,18.81
1,Line,,,,,,1.34,18.81,2.40,15.50
1,Line,,,,,,4.14,12.10,6.38,9.24
1,Line,,,,,,2.40,15.50,4.14,12.10
