Count,Name,APREF,BUILDING,FLOOR,Position X,Position Y,SHOP#,SHOP_NAME,WB,BUILDING#
1,AP Target,REF_B0_F5_2,,05,256.50,38.00,,,,00
1,AP Target,REF_B0_F5_1,,05,0.00,0.00,,,,00
1,AP Points,EMST 5526,00,05,43.81,20.41,,Galley,,
1,AP Points,EMST 5412,00,05,136.84,13.95,,Purser,,
1,AP Points,EMST 5327,00,05,139.83,10.28,,Purser,,
1,AP Points,5625,00,05,11.90,12.09,,Crew Deck,,
1,AP Points,5624,00,05,11.93,26.59,,Crew Deck,,
1,AP Points,5623,00,05,42.27,16.97,,Crew Deck,,
1,AP Points,5622,00,05,47.10,23.62,,Galley,,
1,AP Points,5521,00,05,58.29,11.77,,Dining Rm Upper Level,,
1,AP Points,5520,00,05,58.14,27.71,,Dining Rm Upper Level,,
1,AP Points,5519,00,05,72.55,10.55,,Dining Rm Upper Level,,
1,AP Points,5518,00,05,71.25,27.66,,Dining Rm Upper Level,,
1,AP Points,5516,00,05,82.53,27.17,,Dining Rm Upper Level,,
1,AP Points,5417,00,05,87.61,10.91,,Dining Rm Upper Level,,
1,AP Points,5415,00,05,107.19,27.92,,Centrum,,
1,AP Points,5414,00,05,115.33,9.17,,Centrum,,
1,AP Points,5413,00,05,129.28,24.42,,Centrum,,
1,AP Points,5311,00,05,138.77,24.30,,Shopping,,
1,AP Points,5310,00,05,141.54,19.90,,Shopping,,
1,AP Points,5309,00,05,149.78,11.09,,Souvenir Shop,,
1,AP Points,5308,00,05,155.72,26.57,,Gift and Jewellery Shop,,
1,AP Points,5307,00,05,162.55,18.92,,Fasion and Formal wear shop,,
1,AP Points,5306,00,05,179.20,11.46,,Shopping,,
1,AP Points,5205,00,05,196.24,24.49,,Second Lounge,,
1,AP Points,5204,00,05,202.06,10.56,,Concierge Lounge,,
1,AP Points,5203,00,05,209.21,30.77,,Diamond Club,,
1,AP Points,5202,00,05,216.86,8.24,,Second Lounge,,
1,AP Points,5201,00,05,220.79,25.80,,Second Lounge,,
