Count,Name,APREF,BUILDING#,FLOOR,Position X,Position Y
1,AP Target,REF_B0_F5_1,00,05,0.00,0.00
1,AP Target,REF_B0_F5_2,00,05,256.50,38.00

1,Line,,,,,,209.76,17.32,211.06,15.01
1,Line,,,,,,206.90,9.23,205.28,10.29
1,Line,,,,,,205.28,10.29,204.23,12.91
1,Line,,,,,,208.75,9.11,206.90,9.23
1,Line,,,,,,211.77,12.89,212.75,11.66
1,Line,,,,,,210.43,10.21,208.75,9.11
1,Line,,,,,,205.39,27.79,207.11,28.72
1,Line,,,,,,209.74,20.52,209.55,18.99
1,Line,,,,,,210.61,22.28,209.74,20.52
1,Line,,,,,,206.46,19.11,205.90,21.93
1,Line,,,,,,205.90,21.93,204.29,25.13
1,Line,,,,,,204.29,25.13,205.39,27.79
1,Line,,,,,,208.85,28.72,210.48,27.86
1,Line,,,,,,207.11,28.72,208.85,28.72
1,Line,,,,,,210.48,27.86,212.80,26.34
1,Line,,,,,,211.46,24.25,210.61,22.28
1,Line,,,,,,212.80,26.34,211.46,24.25

1,IP_POI#,05,BPERFSHOP,Perfume shop,00,N,,,,
1,Line,,,,,,148.20,24.52,148.60,26.58
1,Line,,,,,,145.39,21.70,148.20,24.52
1,Line,,,,,,147.93,27.82,145.60,28.00
1,Line,,,,,,148.60,26.58,147.93,27.82
1,Line,,,,,,143.48,21.04,145.39,21.70
1,Line,,,,,,143.03,26.64,141.76,24.34
1,Line,,,,,,145.60,28.00,143.03,26.64
1,Line,,,,,,141.60,21.88,143.48,21.04
1,Line,,,,,,141.76,24.34,141.60,21.88

1,IP_POI#,05,PHOTOGAL,Photo Gallery,00,N,,,,
1,Line,,,,,,123.68,11.44,127.80,14.88
1,Line,,,,,,127.80,14.88,128.81,18.63
1,Line,,,,,,134.40,17.35,131.92,8.99
1,Line,,,,,,127.82,8.95,126.22,7.24
1,Line,,,,,,131.92,8.99,127.82,8.95
1,Line,,,,,,128.81,18.63,136.88,18.73
1,Line,,,,,,107.71,16.13,107.67,18.63
1,Line,,,,,,112.94,16.13,107.71,16.13
1,Line,,,,,,107.67,18.63,116.81,18.63
1,Line,,,,,,136.88,17.49,134.40,17.35
1,Line,,,,,,136.88,18.73,136.88,17.49
1,Line,,,,,,113.01,13.06,112.94,16.13
1,Line,,,,,,116.81,18.63,115.12,14.24
1,Line,,,,,,111.69,11.74,113.01,13.06
1,Line,,,,,,107.68,8.29,107.73,11.77
1,Line,,,,,,107.73,11.77,111.69,11.74
1,Line,,,,,,115.12,14.24,115.17,13.08
1,Line,,,,,,108.87,7.14,107.68,8.29
1,Line,,,,,,126.22,7.24,108.87,7.14
1,Line,,,,,,120.93,11.97,123.68,11.44
1,Line,,,,,,115.17,13.08,118.03,11.44
1,Line,,,,,,118.03,11.44,120.93,11.97

1,IP_POI#,05,PQQ00547DEGGALL,47 Degree Restaurant Gallery PORT,00,N,,,,
1,Line,,,,,,50.43,30.32,50.43,29.09
1,Line,,,,,,50.43,29.09,23.04,28.92
1,Line,,,,,,84.14,30.81,59.13,30.77
1,Line,,,,,,52.65,32.54,50.43,30.32
1,Line,,,,,,23.04,28.92,22.97,19.30
1,Line,,,,,,58.07,32.51,52.65,32.54
1,Line,,,,,,59.13,30.77,58.07,32.51
1,Line,,,,,,87.23,25.26,93.37,25.31
1,Line,,,,,,87.20,19.31,87.23,25.26
1,Line,,,,,,22.97,19.30,87.20,19.31
1,Line,,,,,,93.37,25.31,93.37,29.78
1,Line,,,,,,85.07,32.38,84.14,30.81
1,Line,,,,,,88.69,32.44,85.07,32.38
1,Line,,,,,,93.37,29.78,88.69,32.44

1,IP_POI#,05,PQQ00547DEG,47 Degree Restaurant Gallery STARBOARD,00,N,,,,
1,Line,,,,,,88.69,5.56,85.07,5.62
1,Line,,,,,,85.07,5.62,84.14,7.19
1,Line,,,,,,58.07,5.49,52.65,5.46
1,Line,,,,,,93.37,8.22,88.69,5.56
1,Line,,,,,,87.20,18.69,87.23,12.74
1,Line,,,,,,87.23,12.74,93.37,12.69
1,Line,,,,,,93.37,12.69,93.37,8.22
1,Line,,,,,,50.43,8.91,23.04,9.08
1,Line,,,,,,23.04,9.08,22.97,18.70
1,Line,,,,,,22.97,18.70,87.20,18.69
1,Line,,,,,,50.43,7.68,50.43,8.91
1,Line,,,,,,84.14,7.19,59.13,7.23
1,Line,,,,,,59.13,7.23,58.07,5.49
1,Line,,,,,,52.65,5.46,50.43,7.68

1,IP_POI#,05,BSOUVSHOP,Souvenier shop,00,N,,,,
1,Line,,,,,,141.50,12.34,143.02,11.54
1,Line,,,,,,141.46,16.41,141.50,12.34
1,Line,,,,,,143.02,11.54,143.10,10.28
1,Line,,,,,,143.18,9.03,157.11,9.06
1,Line,,,,,,143.10,10.28,143.18,9.03
1,Line,,,,,,157.11,13.78,147.71,14.05
1,Line,,,,,,145.16,16.56,143.06,16.90
1,Line,,,,,,147.71,14.05,145.16,16.56
1,Line,,,,,,143.06,16.90,141.46,16.41
1,Line,,,,,,157.11,9.06,157.11,13.78

1,IP_POI#,05,POO0005VENENT,Venue - Entrance,00,N,,,,
1,Line,,,,,,187.08,12.72,187.08,9.00
1,Line,,,,,,195.18,13.71,193.77,14.96
1,Line,,,,,,196.95,14.13,195.18,13.71
