Count,Name,APREF,BUILDING#,FLOOR,Position X,Position Y
1,AP Target,REF_B0_F11_1,00,11,0.00,0.00
1,AP Target,REF_B0_F11_2,00,11,256.50,38.00

Count,Name,FLOOR#,POI#,POI_CAT,BUILDING#,VISIBILTY,End X,End Y,Start X,Start Y
1,IP_POI#,11,PVV0011BARELEV,Bar Eleven,00,N,,,,
1,Line,,,,,,102.96,9.47,101.48,11.22
1,Line,,,,,,103.50,10.68,102.96,9.47
1,Line,,,,,,101.48,11.22,105.71,15.44
1,Line,,,,,,105.74,27.88,107.73,27.64
1,Line,,,,,,105.71,15.44,105.74,27.88
1,Line,,,,,,109.09,12.01,107.82,11.61
1,Line,,,,,,110.62,13.78,109.09,12.01
1,Line,,,,,,107.82,11.61,106.16,11.82
1,Line,,,,,,104.50,11.49,103.50,10.68
1,Line,,,,,,106.16,11.82,104.50,11.49
1,Line,,,,,,113.13,16.02,110.56,15.56
1,Line,,,,,,110.56,15.56,110.62,13.78
1,Line,,,,,,114.49,18.00,113.13,16.02
1,Line,,,,,,114.25,20.22,114.49,18.00
1,Line,,,,,,113.34,22.48,114.25,20.22
1,Line,,,,,,109.06,26.70,109.42,25.40
1,Line,,,,,,107.73,27.64,109.06,26.70
1,Line,,,,,,109.42,25.40,109.81,24.44
1,Line,,,,,,111.74,23.66,113.34,22.48
1,Line,,,,,,109.81,24.44,111.74,23.66

1,IP_POI#,11,PVV0011KORALA,Korala,00,N,,,,
1,Line,,,,,,109.52,7.77,103.49,6.50
1,Line,,,,,,123.03,16.58,122.27,14.68
1,Line,,,,,,113.76,9.10,109.52,7.77
1,Line,,,,,,103.01,9.37,103.60,10.59
1,Line,,,,,,103.49,6.50,97.39,5.80
1,Line,,,,,,122.27,14.68,120.69,12.52
1,Line,,,,,,122.85,22.00,123.37,19.02
1,Line,,,,,,121.32,24.66,122.85,22.00
1,Line,,,,,,123.37,19.02,123.03,16.58
1,Line,,,,,,120.69,12.52,118.62,11.06
1,Line,,,,,,118.62,11.06,113.76,9.10
1,Line,,,,,,101.39,11.18,103.01,9.37
1,Line,,,,,,107.84,11.52,109.14,11.91
1,Line,,,,,,106.17,11.76,107.84,11.52
1,Line,,,,,,109.14,11.91,110.70,13.75
1,Line,,,,,,110.64,15.50,113.22,15.91
1,Line,,,,,,110.70,13.75,110.64,15.50
1,Line,,,,,,104.56,11.39,106.17,11.76
1,Line,,,,,,94.02,9.49,93.61,9.48
1,Line,,,,,,93.61,9.48,93.61,11.18
1,Line,,,,,,97.39,5.80,94.02,9.49
1,Line,,,,,,103.60,10.59,104.56,11.39
1,Line,,,,,,93.61,11.18,101.39,11.18
1,Line,,,,,,109.60,25.48,109.18,26.76
1,Line,,,,,,110.03,24.55,109.60,25.48
1,Line,,,,,,108.00,27.66,107.11,27.86
1,Line,,,,,,107.11,27.86,105.69,28.07
1,Line,,,,,,109.18,26.76,108.00,27.66
1,Line,,,,,,111.43,24.03,110.03,24.55
1,Line,,,,,,114.60,19.30,114.19,21.22
1,Line,,,,,,114.19,21.22,113.41,22.68
1,Line,,,,,,114.65,17.99,114.60,19.30
1,Line,,,,,,113.41,22.68,111.43,24.03
1,Line,,,,,,113.22,15.91,114.65,17.99
1,Line,,,,,,105.69,28.07,105.63,29.73
1,Line,,,,,,93.50,28.61,93.99,28.58
1,Line,,,,,,93.99,28.58,97.39,32.27
1,Line,,,,,,97.39,32.27,105.72,31.08
1,Line,,,,,,118.99,26.70,121.32,24.66
1,Line,,,,,,116.09,28.02,118.99,26.70
1,Line,,,,,,98.96,30.66,95.98,26.92
1,Line,,,,,,105.72,31.08,110.96,29.75
1,Line,,,,,,105.63,29.73,98.96,30.66
1,Line,,,,,,110.96,29.75,116.09,28.02
1,Line,,,,,,95.98,26.92,93.50,26.95
1,Line,,,,,,93.50,26.95,93.50,28.61

1,IP_POI#,11,PVV0011STEAKSURF,Steaksurf,00,N,,,,
1,Line,,,,,,84.24,22.43,84.24,28.58
1,Line,,,,,,81.73,21.07,82.29,22.39
1,Line,,,,,,82.29,22.39,84.24,22.43
1,Line,,,,,,84.24,28.58,90.40,28.55
1,Line,,,,,,90.40,28.55,91.50,25.79
1,Line,,,,,,91.50,25.79,87.27,24.27
1,Line,,,,,,84.17,14.52,81.82,16.96
1,Line,,,,,,90.75,12.40,89.77,9.43
1,Line,,,,,,87.27,24.27,87.18,13.62
1,Line,,,,,,87.18,13.62,90.75,12.40
1,Line,,,,,,81.82,16.96,81.73,21.07
1,Line,,,,,,84.20,9.40,84.17,14.52
1,Line,,,,,,89.77,9.43,84.20,9.40
