Count,Name,APREF,BUILDING#,FLOOR,Position X,Position Y
1,AP Target,REF_B0_F11_1,00,11,0.00,0.00
1,AP Target,REF_B0_F11_2,00,11,256.50,38.00

Count,Name,FLOOR#,POI#,POI_CAT,BUILDING#,VISIBILTY,End X,End Y,Start X,Start Y
1,IP_POI#,11,PQU0011D11QUPF,PORT FRONT,00,N,,,,
1,Line,,,,,,177.25,29.00,203.95,29.01
1,Line,,,,,,203.95,29.01,204.40,26.82
1,Line,,,,,,169.75,19.19,169.75,21.90
1,Line,,,,,,169.75,21.90,177.25,29.00
1,Line,,,,,,211.60,22.00,212.50,19.21
1,Line,,,,,,212.50,19.21,169.75,19.19
1,Line,,,,,,209.91,24.53,211.60,22.00
1,Line,,,,,,204.40,26.82,209.91,24.53

1,IP_POI#,11,PQU0011D11QUPR,PORT REAR,00,N,,,,
1,Line,,,,,,100.12,34.30,117.86,30.09
1,Line,,,,,,82.52,31.57,96.28,32.54
1,Line,,,,,,117.86,30.09,125.90,19.20
1,Line,,,,,,96.28,32.54,100.12,34.30
1,Line,,,,,,36.50,19.20,36.19,29.38
1,Line,,,,,,125.90,19.20,36.50,19.20
1,Line,,,,,,82.57,29.78,82.52,31.57
1,Line,,,,,,36.19,29.38,82.57,29.78

1,IP_POI#,11,PQU0011D11QUSBF,STARBOARD FRONT,00,N,,,,
1,Line,,,,,,209.92,13.48,211.61,16.01
1,Line,,,,,,211.61,16.01,212.50,18.81
1,Line,,,,,,169.75,18.81,169.75,16.10
1,Line,,,,,,169.75,16.10,177.25,9.00
1,Line,,,,,,203.95,9.00,204.40,11.20
1,Line,,,,,,212.50,18.81,169.75,18.81
1,Line,,,,,,177.25,9.00,203.95,9.00
1,Line,,,,,,204.40,11.20,209.92,13.48

1,IP_POI#,11,PQU0011D11QUSBR,STARBOARD REAR,00,N,,,,
1,Line,,,,,,96.28,5.46,100.12,3.70
1,Line,,,,,,82.52,6.43,96.28,5.46
1,Line,,,,,,117.86,7.91,125.90,18.80
1,Line,,,,,,100.12,3.70,117.86,7.91
1,Line,,,,,,125.90,18.80,36.50,18.80
1,Line,,,,,,36.50,18.80,36.19,8.62
1,Line,,,,,,82.57,8.22,82.52,6.43
1,Line,,,,,,36.19,8.62,82.57,8.22
