Count,Name,APREF,BUILDING#,FLOOR,Position X,Position Y
1,AP Target,REF_B0_F9_1,00,09,0.00,0.00
1,AP Target,REF_B0_F9_2,00,09,256.50,38.00

Count,Name,FLOOR#,POI#,POI_CAT,BUILDING#,VISIBILTY,End X,End Y,Start X,Start Y
1,IP_POI#,09,PVV0009DBAR9,Deck Bar,00,N,,,,
1,Line,,,,,,169.71,11.59,169.94,6.78
1,Line,,,,,,169.94,6.78,169.16,5.79
1,Line,,,,,,169.16,5.79,167.08,5.24
1,Line,,,,,,170.93,12.54,169.71,11.59
1,Line,,,,,,167.05,14.64,169.47,13.95
1,Line,,,,,,169.47,13.95,170.93,12.54
1,Line,,,,,,162.44,10.46,163.27,12.63
1,Line,,,,,,163.27,12.63,164.70,13.96
1,Line,,,,,,164.70,13.96,167.05,14.64
1,Line,,,,,,167.08,5.24,164.82,5.89
1,Line,,,,,,164.82,5.89,163.00,7.43
1,Line,,,,,,163.00,7.43,162.44,10.46

1,IP_POI#,09,POO0009INDPOOL9,Indoor Pool,00,N,,,,
1,Line,,,,,,82.30,9.04,60.88,9.04
1,Line,,,,,,82.30,28.96,82.30,9.04
1,Line,,,,,,60.88,28.96,82.30,28.96
1,Line,,,,,,60.88,9.04,60.88,28.96

1,IP_POI#,09,PQQ0009ISL9,Islands,00,N,,,,
1,Line,,,,,,195.78,4.35,205.82,4.72
1,Line,,,,,,205.82,4.72,213.59,5.54
1,Line,,,,,,191.60,1.12,193.27,1.77
1,Line,,,,,,213.59,5.54,215.71,6.73
1,Line,,,,,,216.93,8.37,218.27,13.32
1,Line,,,,,,218.27,13.32,218.78,19.00
1,Line,,,,,,193.27,1.77,195.78,4.35
1,Line,,,,,,198.80,15.28,198.80,13.80
1,Line,,,,,,198.80,13.80,196.34,11.91
1,Line,,,,,,200.11,15.28,198.80,15.28
1,Line,,,,,,184.03,1.12,191.60,1.12
1,Line,,,,,,184.03,11.91,184.03,1.12
1,Line,,,,,,196.34,11.91,184.03,11.91
1,Line,,,,,,215.71,6.73,216.93,8.37
1,Line,,,,,,200.11,24.63,200.11,15.28
1,Line,,,,,,191.57,36.87,184.11,36.87
1,Line,,,,,,193.27,36.22,191.57,36.87
1,Line,,,,,,184.11,28.64,196.05,28.64
1,Line,,,,,,196.05,28.64,200.11,24.63
1,Line,,,,,,184.11,36.87,184.11,28.64
1,Line,,,,,,195.80,33.64,193.27,36.22
1,Line,,,,,,217.07,29.33,215.77,31.31
1,Line,,,,,,218.33,24.35,217.07,29.33
1,Line,,,,,,218.78,19.00,218.33,24.35
1,Line,,,,,,201.72,33.53,195.80,33.64
1,Line,,,,,,213.39,32.42,201.72,33.53
1,Line,,,,,,215.77,31.31,213.39,32.42

1,IP_POI#,09,POO0009MOV9,Movies by moonlight,00,N,,,,
1,Line,,,,,,115.27,9.60,115.27,12.19
1,Line,,,,,,118.57,10.62,115.27,9.60
1,Line,,,,,,115.30,28.32,118.57,27.40
1,Line,,,,,,115.27,12.19,113.11,12.19
1,Line,,,,,,125.83,19.05,125.43,16.78
1,Line,,,,,,125.43,16.78,124.44,14.77
1,Line,,,,,,120.91,12.33,118.57,10.62
1,Line,,,,,,124.44,14.77,120.91,12.33
1,Line,,,,,,115.30,25.82,115.30,28.32
1,Line,,,,,,118.57,27.40,121.01,25.68
1,Line,,,,,,113.11,25.79,115.30,25.82
1,Line,,,,,,113.11,12.19,113.11,25.79
1,Line,,,,,,124.38,23.25,125.43,21.39
1,Line,,,,,,125.43,21.39,125.83,19.05
1,Line,,,,,,121.01,25.68,122.99,24.60
1,Line,,,,,,122.99,24.60,124.38,23.25

1,IP_POI#,09,PQQ0009GLASS9,The Glass House,00,N,,,,
1,Line,,,,,,52.47,22.31,52.47,26.41
1,Line,,,,,,57.11,24.01,56.58,24.01
1,Line,,,,,,58.90,12.76,58.90,11.60
1,Line,,,,,,50.97,22.31,52.47,22.31
1,Line,,,,,,58.89,25.24,57.85,24.29
1,Line,,,,,,52.47,26.41,58.89,26.41
1,Line,,,,,,58.89,26.41,58.89,25.24
1,Line,,,,,,57.85,24.29,57.34,24.51
1,Line,,,,,,57.34,24.51,57.11,24.01
1,Line,,,,,,58.90,11.60,51.94,11.60
1,Line,,,,,,55.99,22.64,55.99,16.60
1,Line,,,,,,55.99,16.60,57.31,13.55
1,Line,,,,,,56.58,22.64,55.99,22.64
1,Line,,,,,,56.58,24.01,56.58,22.64
1,Line,,,,,,57.31,13.55,58.16,13.92
1,Line,,,,,,51.94,12.99,50.97,12.99
1,Line,,,,,,51.94,11.60,51.94,12.99
1,Line,,,,,,58.16,13.92,58.90,12.76
1,Line,,,,,,50.97,12.99,50.97,22.31

1,IP_POI#,09,POO0009WHPOOL9P,Whirlpool (Port),00,N,,,,
1,Line,,,,,,117.29,28.49,119.51,27.50
1,Line,,,,,,119.51,27.50,121.14,26.21
1,Line,,,,,,118.43,31.99,116.12,30.81
1,Line,,,,,,115.32,28.94,117.29,28.49
1,Line,,,,,,116.12,30.81,115.32,28.94
1,Line,,,,,,125.75,22.19,126.35,20.32
1,Line,,,,,,126.35,20.32,126.45,19.03
1,Line,,,,,,124.55,24.06,125.75,22.19
1,Line,,,,,,121.14,26.21,122.90,25.45
1,Line,,,,,,122.90,25.45,124.55,24.06
1,Line,,,,,,161.13,24.83,160.35,27.12
1,Line,,,,,,159.84,31.97,118.43,31.99
1,Line,,,,,,160.35,27.12,160.35,29.45
1,Line,,,,,,160.97,31.23,159.84,31.97
1,Line,,,,,,160.35,29.45,160.97,31.23
1,Line,,,,,,161.98,19.03,162.25,20.73
1,Line,,,,,,126.45,19.03,161.98,19.03
1,Line,,,,,,162.25,20.73,163.21,22.34
1,Line,,,,,,162.23,23.36,161.13,24.83
1,Line,,,,,,163.21,22.34,162.23,23.36

1,IP_POI#,09,POO0009WHPOOL9SB,Whirlpool (Starboard),00,N,,,,
1,Line,,,,,,126.35,17.68,126.45,18.97
1,Line,,,,,,126.45,18.97,161.98,18.97
1,Line,,,,,,125.75,15.81,126.35,17.68
1,Line,,,,,,122.90,12.56,124.55,13.94
1,Line,,,,,,124.55,13.94,125.75,15.81
1,Line,,,,,,162.23,14.64,161.13,13.17
1,Line,,,,,,161.13,13.17,160.35,10.88
1,Line,,,,,,163.21,15.66,162.23,14.64
1,Line,,,,,,161.98,18.97,162.25,17.27
1,Line,,,,,,162.25,17.27,163.21,15.66
1,Line,,,,,,159.84,6.03,118.43,6.01
1,Line,,,,,,116.12,7.19,115.32,9.06
1,Line,,,,,,160.97,6.77,159.84,6.03
1,Line,,,,,,160.35,10.88,160.35,8.55
1,Line,,,,,,160.35,8.55,160.97,6.77
1,Line,,,,,,119.51,10.51,121.14,11.79
1,Line,,,,,,121.14,11.79,122.90,12.56
1,Line,,,,,,117.29,9.51,119.51,10.51
1,Line,,,,,,115.32,9.06,117.29,9.51
1,Line,,,,,,118.43,6.01,116.12,7.19

1,IP_POI#,09,PQQ0009SNACKSH9,Snack Shack,00,N,,,,
1,Line,,,,,,93.71,1.13,99.97,1.13
1,Line,,,,,,99.97,9.87,93.71,9.87
1,Line,,,,,,93.71,9.87,93.71,1.13
1,Line,,,,,,99.97,1.13,99.97,9.87

1,IP_POI#,09,POO0009SPA9,Oceans Spa and Beauty Salon,00,N,,,,
1,Line,,,,,,35.50,34.52,38.28,34.87
1,Line,,,,,,33.39,34.11,35.50,34.52
1,Line,,,,,,49.52,28.29,51.08,28.93
1,Line,,,,,,38.28,34.87,49.52,34.87
1,Line,,,,,,32.46,33.65,33.39,34.11
1,Line,,,,,,31.24,32.14,31.75,33.00
1,Line,,,,,,30.01,28.07,30.89,31.06
1,Line,,,,,,31.75,33.00,32.46,33.65
1,Line,,,,,,30.89,31.06,31.24,32.14
1,Line,,,,,,50.76,22.56,50.76,12.85
1,Line,,,,,,54.09,28.93,54.09,26.69
1,Line,,,,,,50.76,12.85,51.73,12.85
1,Line,,,,,,51.92,22.56,50.76,22.56
1,Line,,,,,,54.09,26.69,52.66,26.69
1,Line,,,,,,51.08,28.93,54.09,28.93
1,Line,,,,,,49.52,34.87,49.52,28.29
1,Line,,,,,,51.92,26.31,51.92,22.56
1,Line,,,,,,52.66,26.69,51.92,26.31
1,Line,,,,,,39.65,3.09,33.42,3.89
1,Line,,,,,,55.39,3.04,39.65,3.09
1,Line,,,,,,32.52,4.40,31.82,5.02
1,Line,,,,,,33.42,3.89,32.52,4.40
1,Line,,,,,,55.39,8.90,55.39,3.04
1,Line,,,,,,51.73,11.32,54.13,11.32
1,Line,,,,,,51.73,12.85,51.73,11.32
1,Line,,,,,,54.13,8.90,55.39,8.90
1,Line,,,,,,54.13,11.32,54.13,8.90
1,Line,,,,,,28.55,19.00,28.75,21.20
1,Line,,,,,,28.75,16.80,28.55,19.00
1,Line,,,,,,29.24,24.53,30.01,28.07
1,Line,,,,,,28.75,21.20,29.24,24.53
1,Line,,,,,,29.25,13.43,28.75,16.80
1,Line,,,,,,31.27,5.87,30.60,7.92
1,Line,,,,,,31.82,5.02,31.27,5.87
1,Line,,,,,,30.02,9.93,29.25,13.43
1,Line,,,,,,30.60,7.92,30.02,9.93

1,IP_POI#,09,POO0009VER9,The Veranda,00,N,,,,
1,Line,,,,,,30.47,30.13,29.91,28.11
1,Line,,,,,,26.25,25.99,27.17,29.56
1,Line,,,,,,29.22,33.70,30.26,34.21
1,Line,,,,,,29.91,28.11,29.34,25.77
1,Line,,,,,,28.93,23.50,28.62,21.22
1,Line,,,,,,25.31,19.02,25.47,20.78
1,Line,,,,,,28.42,19.00,28.64,16.78
1,Line,,,,,,29.34,25.77,28.93,23.50
1,Line,,,,,,25.47,20.78,26.25,25.99
1,Line,,,,,,33.35,34.18,33.01,34.07
1,Line,,,,,,33.07,34.57,33.35,34.18
1,Line,,,,,,31.16,32.16,30.47,30.13
1,Line,,,,,,33.01,34.07,32.42,33.74
1,Line,,,,,,30.26,34.21,33.07,34.57
1,Line,,,,,,27.17,29.56,28.23,32.58
1,Line,,,,,,28.23,32.58,29.22,33.70
1,Line,,,,,,32.42,33.74,31.65,33.04
1,Line,,,,,,31.65,33.04,31.16,32.16
1,Line,,,,,,28.62,21.22,28.42,19.00
1,Line,,,,,,33.34,3.82,33.06,3.45
1,Line,,,,,,33.06,3.45,30.30,3.81
1,Line,,,,,,32.20,4.42,32.91,3.98
1,Line,,,,,,32.91,3.98,33.34,3.82
1,Line,,,,,,30.47,7.87,31.08,6.05
1,Line,,,,,,28.95,14.54,29.34,12.24
1,Line,,,,,,26.95,9.20,25.75,14.78
1,Line,,,,,,28.01,5.90,26.95,9.20
1,Line,,,,,,29.34,12.24,29.90,9.93
1,Line,,,,,,29.90,9.93,30.47,7.87
1,Line,,,,,,31.48,5.22,32.20,4.42
1,Line,,,,,,28.64,16.78,28.95,14.54
1,Line,,,,,,25.75,14.78,25.31,19.02
1,Line,,,,,,31.30,5.52,31.48,5.22
1,Line,,,,,,29.32,4.25,28.78,4.70
1,Line,,,,,,30.30,3.81,29.32,4.25
1,Line,,,,,,31.08,6.05,31.30,5.52
1,Line,,,,,,28.78,4.70,28.01,5.90
