Count,Name,APREF,BUILDING#,FLOOR,Position X,Position Y
1,AP Target,REF_B0_F9_1,00,09,0.00,0.00
1,AP Target,REF_B0_F9_2,00,09,256.50,38.00

Count,Name,FLOOR#,POI#,POI_CAT,BUILDING#,VISIBILTY,End X,End Y,Start X,Start Y
1,IP_POI#,09,PQU009D9QUPF,PORT FRONT,00,N,,,,
1,Line,,,,,,217.16,28.97,217.70,26.84
1,Line,,,,,,217.70,26.84,218.39,24.24
1,Line,,,,,,218.39,24.24,218.55,21.67
1,Line,,,,,,126.30,19.20,126.30,34.31
1,Line,,,,,,218.55,21.67,218.80,19.23
1,Line,,,,,,211.99,32.65,215.33,31.65
1,Line,,,,,,126.30,34.31,190.39,34.28
1,Line,,,,,,218.80,19.23,126.30,19.20
1,Line,,,,,,190.39,34.28,201.08,34.00
1,Line,,,,,,215.33,31.65,217.16,28.97
1,Line,,,,,,201.08,34.00,211.99,32.65

1,IP_POI#,09,PQU0009D9QUPR,PORT REAR,00,N,,,,
1,Line,,,,,,28.44,32.92,30.38,34.23
1,Line,,,,,,27.26,29.74,28.44,32.92
1,Line,,,,,,125.90,34.30,125.90,19.20
1,Line,,,,,,30.38,34.23,125.90,34.30
1,Line,,,,,,26.40,26.62,27.26,29.74
1,Line,,,,,,25.52,21.47,25.86,23.39
1,Line,,,,,,125.90,19.20,25.30,19.20
1,Line,,,,,,25.30,19.20,25.52,21.47
1,Line,,,,,,25.86,23.39,26.40,26.62

1,IP_POI#,09,PQU0009D9QUSBF,STARBOARD FRONT,00,N,,,,
1,Line,,,,,,217.70,11.16,218.39,13.76
1,Line,,,,,,215.33,6.35,217.16,9.03
1,Line,,,,,,217.16,9.03,217.70,11.16
1,Line,,,,,,218.55,16.33,218.80,18.77
1,Line,,,,,,218.39,13.76,218.55,16.33
1,Line,,,,,,211.99,5.35,215.33,6.35
1,Line,,,,,,126.30,18.80,126.30,3.69
1,Line,,,,,,218.80,18.77,126.30,18.80
1,Line,,,,,,126.30,3.69,190.39,3.72
1,Line,,,,,,201.08,4.00,211.99,5.35
1,Line,,,,,,190.39,3.72,201.08,4.00

1,IP_POI#,09,PQU0009D9QUSBR,STARBOARD REAR,00,N,,,,
1,Line,,,,,,28.44,5.08,30.38,3.77
1,Line,,,,,,27.26,8.26,28.44,5.08
1,Line,,,,,,125.90,3.70,125.90,18.80
1,Line,,,,,,30.38,3.77,125.90,3.70
1,Line,,,,,,26.40,11.38,27.26,8.26
1,Line,,,,,,125.90,18.80,25.30,18.80
1,Line,,,,,,25.30,18.80,25.52,16.53
1,Line,,,,,,25.86,14.61,26.40,11.38
1,Line,,,,,,25.52,16.53,25.86,14.61
