Count,Name,APREF,BUILDING,FLOOR,Position X,Position Y,SHOP#,SHOP_NAME,WB,BUILDING#
1,AP Target,REF_B0_F9_2,,09,256.50,38.00,,,,00
1,AP Target,REF_B0_F9_1,,09,0.00,0.00,,,,00
1,AP Points,9627,00,09,29.09,12.27,,Veranda,,
1,AP Points,9626,00,09,29.50,25.99,,Veranda,,
1,AP Points,9625,00,09,33.78,20.69,,Ocean Spa,,
1,AP Points,9624,00,09,39.15,6.59,,Ocean Spa,,
1,AP Points,9623,00,09,41.76,28.16,,Ocean Spa,,
1,AP Points,9521,00,09,55.39,19.04,,Glass House,,
1,AP Points,9520,00,09,64.72,6.99,,Pool Starboard,,
1,AP Points,9519,00,09,64.01,31.30,,Pool Port,,
1,AP Points,9518,00,09,83.27,7.05,,Pool Starboard,,
1,AP Points,9517,00,09,83.59,31.33,,Pool Port,,
1,AP Points,9416,00,09,99.57,3.81,,Snack Shack,,
1,AP Points,9415,00,09,104.65,34.12,,Stairs Port,,
1,AP Points,9414,00,09,109.76,18.98,,Main Stairs,,
1,AP Points,9413,00,09,119.59,3.85,,Sun Deck Starboard,,
1,AP Points,9412,00,09,119.34,34.28,,Sun Deck Port,,
1,AP Points,9311,00,09,138.08,3.40,,Sun Deck Starboard,,
1,AP Points,9310,00,09,138.26,34.88,,Sun Deck Port,,
1,AP Points,9309,00,09,158.92,2.90,,Sun Deck Starboard,,
1,AP Points,9308,00,09,160.29,35.37,,Sun Deck Port,,
1,AP Points,9307,00,09,169.33,28.31,,Sun Deck Port,,
1,AP Points,9306,00,09,175.44,2.45,,Sun Deck Starboard,,
1,AP Points,9305,00,09,179.53,19.01,,SuFW Stairs,,
1,AP Points,9204,00,09,191.94,33.51,,Islands Port,,
1,AP Points,9203,00,09,202.27,8.11,,Islands Starboard,,
1,AP Points,9202,00,09,204.32,29.61,,Islands Port,,
1,AP Points,9201,00,09,215.01,19.00,,Islands,,
1,AP Points,0922,00,09,52.58,5.92,,Oceans Spa,,
