Count,Name,APREF,BUILDING#,FLOOR,Position X,Position Y
1,AP Target,REF_B0_F1_1,00,01,0.00,0.00
1,AP Target,REF_B0_F1_2,00,01,256.50,38.00

Count,Name,FLOOR#,POI#,POI_CAT,BUILDING#,VISIBILTY,End X,End Y,Start X,Start Y
1,IP_POI#,01,PQU0001D1QUPF,PORT FRONT,00,N,,,,
1,Line,,,,,,207.11,29.25,215.73,26.83
1,Line,,,,,,215.73,26.83,229.08,22.89
1,Line,,,,,,195.62,31.89,207.11,29.25
1,Line,,,,,,172.59,34.00,183.52,33.88
1,Line,,,,,,183.52,33.88,195.62,31.89
1,Line,,,,,,229.08,22.89,234.76,21.02
1,Line,,,,,,126.30,19.20,126.30,34.31
1,Line,,,,,,240.08,19.25,126.30,19.20
1,Line,,,,,,126.30,34.31,164.45,34.28
1,Line,,,,,,234.76,21.02,240.08,19.25
1,Line,,,,,,164.45,34.28,172.59,34.00

1,IP_POI#,01,PQU0001D1QUPR,PORT REAR,00,N,,,,
1,Line,,,,,,19.09,32.87,24.62,34.30
1,Line,,,,,,15.29,30.31,19.09,32.87
1,Line,,,,,,125.90,34.30,125.90,19.20
1,Line,,,,,,24.62,34.30,125.90,34.30
1,Line,,,,,,11.63,26.17,15.29,30.31
1,Line,,,,,,8.12,19.20,8.98,21.49
1,Line,,,,,,125.90,19.20,8.12,19.20
1,Line,,,,,,10.17,23.89,11.63,26.17
1,Line,,,,,,8.98,21.49,10.17,23.89

1,IP_POI#,01,PQU0001D1QUSBF,STARBOARD FRONT,00,N,,,,
1,Line,,,,,,172.59,4.00,183.52,4.12
1,Line,,,,,,183.52,4.12,195.62,6.11
1,Line,,,,,,126.30,3.69,164.45,3.72
1,Line,,,,,,126.30,18.80,126.30,3.69
1,Line,,,,,,164.45,3.72,172.59,4.00
1,Line,,,,,,195.62,6.11,207.11,8.75
1,Line,,,,,,215.73,11.17,229.08,15.11
1,Line,,,,,,240.08,18.75,126.30,18.80
1,Line,,,,,,207.11,8.75,215.73,11.17
1,Line,,,,,,229.08,15.11,234.76,16.98
1,Line,,,,,,234.76,16.98,240.08,18.75

1,IP_POI#,01,PQU0001D1QUSBR,STARBOARD REAR,00,N,,,,
1,Line,,,,,,15.19,7.79,19.09,5.13
1,Line,,,,,,10.49,13.55,12.88,10.24
1,Line,,,,,,19.09,5.13,24.65,3.69
1,Line,,,,,,12.88,10.24,15.19,7.79
1,Line,,,,,,9.13,16.18,10.49,13.55
1,Line,,,,,,24.65,3.69,125.90,3.70
1,Line,,,,,,125.90,18.80,8.11,18.84
1,Line,,,,,,8.11,18.84,9.13,16.18
1,Line,,,,,,125.90,3.70,125.90,18.80
