Count,Name,APREF,BUILDING#,FLOOR,Position X,Position Y
1,AP Target,REF_B0_F1_1,00,01,0.00,0.00
1,AP Target,REF_B0_F1_2,00,01,256.50,38.00

Count,Name,FLOOR#,POI#,POI_CAT,BUILDING#,VISIBILTY,End X,End Y,Start X,Start Y
1,IP_POI#,01,PSU00010001,Staff Quarters,00,N,,,,
1,Line,,,,,,52.77,30.06,50.45,30.06
1,Line,,,,,,52.77,34.17,52.77,30.06
1,Line,,,,,,50.45,34.17,52.77,34.17
1,Line,,,,,,50.45,30.06,50.45,34.17

1,IP_POI#,01,PSU00010002,Staff Quarters,00,N,,,,
1,Line,,,,,,55.47,30.05,53.15,30.05
1,Line,,,,,,53.15,30.05,53.15,34.16
1,Line,,,,,,53.15,34.16,55.47,34.16
1,Line,,,,,,55.47,34.16,55.47,30.05

1,IP_POI#,01,PSU00010003,Staff Quarters,00,N,,,,
1,Line,,,,,,58.17,34.16,58.17,30.05
1,Line,,,,,,58.17,30.05,55.85,30.05
1,Line,,,,,,55.85,34.16,58.17,34.16
1,Line,,,,,,55.85,30.05,55.85,34.16

1,IP_POI#,01,PSU00010004,Staff Quarters,00,N,,,,
1,Line,,,,,,58.55,30.05,58.55,34.16
1,Line,,,,,,60.87,30.05,58.55,30.05
1,Line,,,,,,58.55,34.16,60.87,34.16
1,Line,,,,,,60.87,34.16,60.87,30.05

1,IP_POI#,01,PSU00010005,Staff Quarters,00,N,,,,
1,Line,,,,,,63.62,30.06,61.30,30.06
1,Line,,,,,,63.62,34.17,63.62,30.06
1,Line,,,,,,61.30,34.17,63.62,34.17
1,Line,,,,,,61.30,30.06,61.30,34.17

1,IP_POI#,01,PSU00010006,Staff Quarters,00,N,,,,
1,Line,,,,,,66.27,30.05,63.95,30.05
1,Line,,,,,,63.95,30.05,63.95,34.16
1,Line,,,,,,63.95,34.16,66.27,34.16
1,Line,,,,,,66.27,34.16,66.27,30.05

1,IP_POI#,01,PSU00010007,Staff Quarters,00,N,,,,
1,Line,,,,,,68.97,30.05,66.65,30.05
1,Line,,,,,,68.97,34.16,68.97,30.05
1,Line,,,,,,66.65,34.16,68.97,34.16
1,Line,,,,,,66.65,30.05,66.65,34.16

1,IP_POI#,01,PSU00010008,Staff Quarters,00,N,,,,
1,Line,,,,,,69.35,30.05,69.35,34.16
1,Line,,,,,,71.67,30.05,69.35,30.05
1,Line,,,,,,71.67,34.16,71.67,30.05
1,Line,,,,,,69.35,34.16,71.67,34.16

1,IP_POI#,01,PSU00010009,Staff Quarters,00,N,,,,
1,Line,,,,,,74.37,30.05,72.05,30.05
1,Line,,,,,,72.05,30.05,72.05,34.16
1,Line,,,,,,72.05,34.16,74.37,34.16
1,Line,,,,,,74.37,34.16,74.37,30.05

1,IP_POI#,01,PSU00010010,Staff Quarters,00,N,,,,
1,Line,,,,,,77.07,30.09,74.75,30.09
1,Line,,,,,,74.75,30.09,74.75,34.20
1,Line,,,,,,74.75,34.20,77.07,34.20
1,Line,,,,,,77.07,34.20,77.07,30.09

1,IP_POI#,01,PSU00010011,Staff Quarters,00,N,,,,
1,Line,,,,,,79.77,30.05,77.45,30.05
1,Line,,,,,,77.45,30.05,77.45,34.16
1,Line,,,,,,77.45,34.16,79.77,34.16
1,Line,,,,,,79.77,34.16,79.77,30.05

1,IP_POI#,01,PSU00010012,Staff Quarters,00,N,,,,
1,Line,,,,,,82.47,30.05,80.15,30.05
1,Line,,,,,,80.15,30.05,80.15,34.16
1,Line,,,,,,80.15,34.16,82.47,34.16
1,Line,,,,,,82.47,34.16,82.47,30.05

1,IP_POI#,01,PSU00010013,Staff Quarters,00,N,,,,
1,Line,,,,,,85.17,30.05,82.85,30.05
1,Line,,,,,,85.17,34.16,85.17,30.05
1,Line,,,,,,82.85,34.16,85.17,34.16
1,Line,,,,,,82.85,30.05,82.85,34.16

1,IP_POI#,01,PSU00010014,Staff Quarters,00,N,,,,
1,Line,,,,,,87.87,30.05,85.55,30.05
1,Line,,,,,,85.55,30.05,85.55,34.16
1,Line,,,,,,85.55,34.16,87.87,34.16
1,Line,,,,,,87.87,34.16,87.87,30.05

1,IP_POI#,01,PSU00010015,Staff Quarters,00,N,,,,
1,Line,,,,,,112.95,30.05,112.95,34.16
1,Line,,,,,,115.28,30.05,112.95,30.05
1,Line,,,,,,115.28,34.16,115.28,30.05
1,Line,,,,,,112.95,34.16,115.28,34.16

1,IP_POI#,01,PSU00010016,Staff Quarters,00,N,,,,
1,Line,,,,,,115.65,30.05,115.65,34.16
1,Line,,,,,,117.98,30.05,115.65,30.05
1,Line,,,,,,115.65,34.16,117.98,34.16
1,Line,,,,,,117.98,34.16,117.98,30.05

1,IP_POI#,01,PSU00010017,Staff Quarters,00,N,,,,
1,Line,,,,,,120.68,30.05,118.35,30.05
1,Line,,,,,,120.68,34.16,120.68,30.05
1,Line,,,,,,118.35,34.16,120.68,34.16
1,Line,,,,,,118.35,30.05,118.35,34.16

1,IP_POI#,01,PSU00010018,Staff Quarters,00,N,,,,
1,Line,,,,,,126.45,30.05,126.45,34.16
1,Line,,,,,,128.78,30.05,126.45,30.05
1,Line,,,,,,126.45,34.16,128.78,34.16
1,Line,,,,,,128.78,34.16,128.78,30.05

1,IP_POI#,01,PSU00010019,Staff Quarters,00,N,,,,
1,Line,,,,,,131.48,30.05,129.15,30.05
1,Line,,,,,,129.15,30.05,129.15,34.16
1,Line,,,,,,129.15,34.16,131.48,34.16
1,Line,,,,,,131.48,34.16,131.48,30.05

1,IP_POI#,01,PSU00010020,Staff Quarters,00,N,,,,
1,Line,,,,,,134.18,30.05,131.85,30.05
1,Line,,,,,,131.85,30.05,131.85,34.16
1,Line,,,,,,131.85,34.16,134.18,34.16
1,Line,,,,,,134.18,34.16,134.18,30.05

1,IP_POI#,01,PSU00010021,Staff Quarters,00,N,,,,
1,Line,,,,,,136.88,30.05,134.55,30.05
1,Line,,,,,,136.88,34.16,136.88,30.05
1,Line,,,,,,134.55,34.16,136.88,34.16
1,Line,,,,,,134.55,30.05,134.55,34.16

1,IP_POI#,01,PSU00010022,Staff Quarters,00,N,,,,
1,Line,,,,,,140.03,30.05,137.70,30.05
1,Line,,,,,,140.03,34.16,140.03,30.05
1,Line,,,,,,137.70,34.16,140.03,34.16
1,Line,,,,,,137.70,30.05,137.70,34.16

1,IP_POI#,01,PSU00010023,Staff Quarters,00,N,,,,
1,Line,,,,,,142.73,30.05,140.40,30.05
1,Line,,,,,,140.40,30.05,140.40,34.16
1,Line,,,,,,140.40,34.16,142.73,34.16
1,Line,,,,,,142.73,34.16,142.73,30.05

1,IP_POI#,01,PSU00010024,Staff Quarters,00,N,,,,
1,Line,,,,,,145.43,30.05,143.10,30.05
1,Line,,,,,,143.10,30.05,143.10,34.16
1,Line,,,,,,143.10,34.16,145.43,34.16
1,Line,,,,,,145.43,34.16,145.43,30.05

1,IP_POI#,01,PSU00010025,Staff Quarters,00,N,,,,
1,Line,,,,,,148.13,30.05,145.80,30.05
1,Line,,,,,,145.80,30.05,145.80,34.16
1,Line,,,,,,145.80,34.16,148.13,34.16
1,Line,,,,,,148.13,34.16,148.13,30.05

1,IP_POI#,01,PSU00010026,Staff Quarters,00,N,,,,
1,Line,,,,,,148.50,30.05,148.50,34.16
1,Line,,,,,,150.83,30.05,148.50,30.05
1,Line,,,,,,148.50,34.16,150.83,34.16
1,Line,,,,,,150.83,34.16,150.83,30.05

1,IP_POI#,01,PSU00010027,Staff Quarters,00,N,,,,
1,Line,,,,,,153.53,30.06,151.20,30.06
1,Line,,,,,,151.20,30.06,151.20,34.17
1,Line,,,,,,151.20,34.17,153.53,34.17
1,Line,,,,,,153.53,34.17,153.53,30.06

1,IP_POI#,01,PSU00010028,Staff Quarters,00,N,,,,
1,Line,,,,,,156.23,34.16,156.23,30.05
1,Line,,,,,,156.23,30.05,153.90,30.05
1,Line,,,,,,153.90,34.16,156.23,34.16
1,Line,,,,,,153.90,30.05,153.90,34.16

1,IP_POI#,01,PSU00010029,Staff Quarters,00,N,,,,
1,Line,,,,,,158.93,34.16,158.93,30.05
1,Line,,,,,,158.93,30.05,156.60,30.05
1,Line,,,,,,156.60,34.16,158.93,34.16
1,Line,,,,,,156.60,30.05,156.60,34.16

1,IP_POI#,01,PSU00010030,Staff Quarters,00,N,,,,
1,Line,,,,,,167.40,29.50,167.40,33.61
1,Line,,,,,,169.73,29.50,167.40,29.50
1,Line,,,,,,167.40,33.61,169.73,33.61
1,Line,,,,,,169.73,33.61,169.73,29.50

1,IP_POI#,01,PSU00010031,Staff Quarters,00,N,,,,
1,Line,,,,,,172.43,29.50,170.10,29.50
1,Line,,,,,,170.10,29.50,170.10,33.61
1,Line,,,,,,170.10,33.61,172.43,33.61
1,Line,,,,,,172.43,33.61,172.43,29.50

1,IP_POI#,01,PSU00010032,Staff Quarters,00,N,,,,
1,Line,,,,,,175.13,29.47,172.80,29.47
1,Line,,,,,,172.80,29.47,172.80,33.58
1,Line,,,,,,172.80,33.58,175.13,33.58
1,Line,,,,,,175.13,33.58,175.13,29.47

1,IP_POI#,01,PSU00010033,Staff Quarters,00,N,,,,
1,Line,,,,,,177.83,29.44,175.50,29.44
1,Line,,,,,,175.50,29.44,175.50,33.55
1,Line,,,,,,177.83,33.55,177.83,29.44
1,Line,,,,,,175.50,33.55,177.83,33.55

1,IP_POI#,01,PSU00010034,Staff Quarters,00,N,,,,
1,Line,,,,,,180.53,33.14,180.53,29.03
1,Line,,,,,,180.53,29.03,178.20,29.03
1,Line,,,,,,178.20,33.14,180.53,33.14
1,Line,,,,,,178.20,29.03,178.20,33.14

1,IP_POI#,01,PSU00010035,Staff Quarters,00,N,,,,
1,Line,,,,,,183.23,29.03,180.90,29.03
1,Line,,,,,,180.90,29.03,180.90,33.14
1,Line,,,,,,180.90,33.14,183.23,33.14
1,Line,,,,,,183.23,33.14,183.23,29.03

1,IP_POI#,01,PSU00010036,Staff Quarters,00,N,,,,
1,Line,,,,,,186.28,28.56,183.95,28.56
1,Line,,,,,,183.95,28.56,183.95,32.67
1,Line,,,,,,183.95,32.67,186.28,32.67
1,Line,,,,,,186.28,32.67,186.28,28.56

1,IP_POI#,01,PSU00010037,Staff Quarters,00,N,,,,
1,Line,,,,,,188.93,32.34,188.93,28.86
1,Line,,,,,,188.93,28.86,186.60,28.86
1,Line,,,,,,186.60,32.34,188.93,32.34
1,Line,,,,,,186.60,28.86,186.60,32.34

1,IP_POI#,01,PSU00010038,Staff Quarters,00,N,,,,
1,Line,,,,,,191.48,28.93,189.15,28.93
1,Line,,,,,,189.15,28.93,189.15,32.09
1,Line,,,,,,189.15,32.09,191.48,32.09
1,Line,,,,,,191.48,32.09,191.48,28.93

1,IP_POI#,01,PSU00010039,Staff Quarters,00,N,,,,
1,Line,,,,,,194.08,28.42,191.75,28.42
1,Line,,,,,,191.75,28.42,191.75,31.87
1,Line,,,,,,191.75,31.87,194.08,31.87
1,Line,,,,,,194.08,31.87,194.08,28.42

1,IP_POI#,01,PSU00010040,Staff Quarters,00,N,,,,
1,Line,,,,,,196.68,27.47,194.35,27.47
1,Line,,,,,,194.35,27.47,194.35,30.89
1,Line,,,,,,194.35,30.89,196.68,30.89
1,Line,,,,,,196.68,30.89,196.68,27.47

1,IP_POI#,01,PSU00010041,Staff Quarters,00,N,,,,
1,Line,,,,,,199.28,27.39,196.95,27.39
1,Line,,,,,,196.95,27.39,196.95,30.59
1,Line,,,,,,196.95,30.59,199.28,30.59
1,Line,,,,,,199.28,30.59,199.28,27.39

1,IP_POI#,01,PSU00010042,Staff Quarters,00,N,,,,
1,Line,,,,,,130.21,26.54,126.47,26.54
1,Line,,,,,,130.21,28.28,130.21,26.54
1,Line,,,,,,126.47,28.28,130.21,28.28
1,Line,,,,,,126.47,26.54,126.47,28.28

1,IP_POI#,01,PSU00010043,Staff Quarters,00,N,,,,
1,Line,,,,,,130.21,24.46,126.47,24.46
1,Line,,,,,,130.21,26.20,130.21,24.46
1,Line,,,,,,126.47,26.20,130.21,26.20
1,Line,,,,,,126.47,24.46,126.47,26.20

1,IP_POI#,01,PSU00010044,Staff Quarters,00,N,,,,
1,Line,,,,,,126.47,24.12,130.21,24.12
1,Line,,,,,,130.21,24.12,130.21,22.38
1,Line,,,,,,126.47,22.38,126.47,24.12
1,Line,,,,,,130.21,22.38,126.47,22.38

1,IP_POI#,01,PSU00010045,Staff Quarters,00,N,,,,
1,Line,,,,,,130.19,20.30,126.44,20.30
1,Line,,,,,,126.44,20.30,126.44,22.04
1,Line,,,,,,126.44,22.04,130.19,22.04
1,Line,,,,,,130.19,22.04,130.19,20.30

1,IP_POI#,01,PSU00010046,Staff Quarters,00,N,,,,
1,Line,,,,,,130.21,18.22,126.47,18.22
1,Line,,,,,,130.21,19.96,130.21,18.22
1,Line,,,,,,126.47,19.96,130.21,19.96
1,Line,,,,,,126.47,18.22,126.47,19.96

1,IP_POI#,01,PSU00010047,Staff Quarters,00,N,,,,
1,Line,,,,,,130.21,16.14,126.47,16.14
1,Line,,,,,,130.21,17.88,130.21,16.14
1,Line,,,,,,126.47,17.88,130.21,17.88
1,Line,,,,,,126.47,16.14,126.47,17.88

1,IP_POI#,01,PSU00010048,Staff Quarters,00,N,,,,
1,Line,,,,,,130.21,14.06,126.47,14.06
1,Line,,,,,,130.21,15.80,130.21,14.06
1,Line,,,,,,126.47,15.80,130.21,15.80
1,Line,,,,,,126.47,14.06,126.47,15.80

1,IP_POI#,01,PSU00010049,Staff Quarters,00,N,,,,
1,Line,,,,,,135.91,11.56,132.17,11.56
1,Line,,,,,,132.17,11.56,132.17,13.30
1,Line,,,,,,132.17,13.30,135.91,13.30
1,Line,,,,,,135.91,13.30,135.91,11.56

1,IP_POI#,01,PSU00010050,Staff Quarters,00,N,,,,
1,Line,,,,,,135.91,13.64,132.17,13.64
1,Line,,,,,,132.17,13.64,132.17,15.38
1,Line,,,,,,132.17,15.38,135.91,15.38
1,Line,,,,,,135.91,15.38,135.91,13.64

1,IP_POI#,01,PSU00010051,Staff Quarters,00,N,,,,
1,Line,,,,,,135.61,15.72,131.87,15.72
1,Line,,,,,,131.87,15.72,131.87,17.46
1,Line,,,,,,131.87,17.46,135.61,17.46
1,Line,,,,,,135.61,17.46,135.61,15.72

1,IP_POI#,01,PSU00010052,Staff Quarters,00,N,,,,
1,Line,,,,,,135.61,17.80,131.87,17.80
1,Line,,,,,,131.87,17.80,131.87,19.54
1,Line,,,,,,131.87,19.54,135.61,19.54
1,Line,,,,,,135.61,19.54,135.61,17.80

1,IP_POI#,01,PSU00010053,Staff Quarters,00,N,,,,
1,Line,,,,,,135.61,19.88,131.87,19.88
1,Line,,,,,,131.87,19.88,131.87,21.62
1,Line,,,,,,131.87,21.62,135.61,21.62
1,Line,,,,,,135.61,21.62,135.61,19.88

1,IP_POI#,01,PSU00010054,Staff Quarters,00,N,,,,
1,Line,,,,,,135.61,21.96,131.87,21.96
1,Line,,,,,,131.87,21.96,131.87,23.70
1,Line,,,,,,131.87,23.70,135.61,23.70
1,Line,,,,,,135.61,23.70,135.61,21.96

1,IP_POI#,01,PSU00010055,Staff Quarters,00,N,,,,
1,Line,,,,,,135.91,24.04,132.17,24.04
1,Line,,,,,,132.17,24.04,132.17,25.78
1,Line,,,,,,132.17,25.78,135.91,25.78
1,Line,,,,,,135.91,25.78,135.91,24.04

1,IP_POI#,01,PSU00010056,Staff Quarters,00,N,,,,
1,Line,,,,,,135.91,26.12,132.17,26.12
1,Line,,,,,,132.17,26.12,132.17,27.86
1,Line,,,,,,132.17,27.86,135.91,27.86
1,Line,,,,,,135.91,27.86,135.91,26.12

1,IP_POI#,01,PSU00010057,Staff Quarters,00,N,,,,
1,Line,,,,,,141.46,26.56,137.71,26.56
1,Line,,,,,,141.46,28.30,141.46,26.56
1,Line,,,,,,137.71,28.30,141.46,28.30
1,Line,,,,,,137.71,26.56,137.71,28.30

1,IP_POI#,01,PSU00010058,Staff Quarters,00,N,,,,
1,Line,,,,,,141.46,24.48,137.71,24.48
1,Line,,,,,,137.71,24.48,137.71,26.22
1,Line,,,,,,137.71,26.22,141.46,26.22
1,Line,,,,,,141.46,26.22,141.46,24.48

1,IP_POI#,01,PSU00010059,Staff Quarters,00,N,,,,
1,Line,,,,,,141.46,22.40,137.71,22.40
1,Line,,,,,,141.46,24.14,141.46,22.40
1,Line,,,,,,137.71,24.14,141.46,24.14
1,Line,,,,,,137.71,22.40,137.71,24.14

1,IP_POI#,01,PSU00010060,Staff Quarters,00,N,,,,
1,Line,,,,,,141.42,19.55,139.63,19.55
1,Line,,,,,,139.63,19.55,139.63,22.06
1,Line,,,,,,139.63,22.06,141.42,22.06
1,Line,,,,,,141.42,22.06,141.42,19.55

1,IP_POI#,01,PSU00010061,Staff Quarters,00,N,,,,
1,Line,,,,,,141.46,13.08,137.71,13.08
