Count,Name,APREF,BUILDING,FLOOR,Position X,Position Y,SHOP#,SHOP_NAME,WB,BUILDING#
1,AP Target,REF_B0_F1_2,,01,256.50,38.00,,,,00
1,AP Target,REF_B0_F1_1,,01,0.00,0.00,,,,00
1,AP Points,1648,00,01,41.62,10.18,,Red Wine Store,,
1,AP Points,1547,00,01,51.41,28.65,,Incinerators Room,,
1,AP Points,1546,00,01,62.24,33.31,,Staff,,
1,AP Points,1545,00,01,65.75,10.01,,Cold Garbage,,
1,AP Points,1544,00,01,66.76,28.74,,Staff,,
1,AP Points,1543,00,01,69.40,14.19,,Ch. Eng. Office,,
1,AP Points,1542,00,01,76.54,33.04,,Staff,,
1,AP Points,1541,00,01,77.82,28.77,,Staff,,
1,AP Points,1540,00,01,86.40,9.86,,Cont. & Troll.,,
1,AP Points,1539,00,01,85.11,28.77,,Staff,,
1,AP Points,1451,00,01,133.14,7.81,,Staff,,
1,AP Points,1450,00,01,96.70,32.09,,Conference Room,,
1,AP Points,1438,00,01,101.96,28.80,,Bunk. Stat.,,
1,AP Points,1437,00,01,107.92,9.83,,Tender EMB.,,
1,AP Points,1436,00,01,108.94,19.06,,Aft. Stairs,,
1,AP Points,1435,00,01,114.85,7.88,,Staff,,
1,AP Points,1434,00,01,116.68,16.58,,Emergency Surgery,,
1,AP Points,1433,00,01,114.41,28.87,,Crew,,
1,AP Points,1432,00,01,125.35,7.77,,Staff,,
1,AP Points,1431,00,01,120.41,24.64,,Ward 1,,
1,AP Points,1430,00,01,123.21,32.94,,Staff,,
1,AP Points,1429,00,01,130.90,14.25,,Staff,,
1,AP Points,1428,00,01,130.99,20.49,,Staff,,
1,AP Points,1427,00,01,131.85,29.11,,Staff,,
1,AP Points,1326,00,01,138.98,33.17,,Staff,,
1,AP Points,1325,00,01,141.78,7.88,,Staff,,
1,AP Points,1324,00,01,142.17,15.71,,AC Room,,
1,AP Points,1323,00,01,142.10,24.24,,Staff,,
1,AP Points,1322,00,01,151.01,7.84,,Staff,,
1,AP Points,1321,00,01,151.79,15.37,,Staff,,
1,AP Points,1320,00,01,151.14,21.06,,Staff,,
1,AP Points,1319,00,01,150.48,29.10,,Staff,,
1,AP Points,1318,00,01,156.27,29.10,,Staff,,
1,AP Points,1317,00,01,158.62,14.70,,Luggage Store,,
1,AP Points,1316,00,01,158.88,25.95,,Staff,,
1,AP Points,1315,00,01,163.23,9.94,,Luggage Store,,
1,AP Points,1314,00,01,162.52,27.38,,Staff,,
1,AP Points,1313,00,01,166.60,18.34,,Luggage Store,,
1,AP Points,1312,00,01,169.19,26.04,,Ship Crew Office,,
1,AP Points,1311,00,01,176.06,7.75,,Staff,,
1,AP Points,1310,00,01,175.93,28.61,,F/B Manager,,
1,AP Points,1309,00,01,179.17,13.93,,FW Stairs,,
1,AP Points,1308,00,01,182.66,28.34,,Staff,,
1,AP Points,1249,00,01,196.87,26.80,,Staff,,
1,AP Points,1207,00,01,184.57,10.10,,Service Lkr.,,
1,AP Points,1206,00,01,189.99,28.31,,Ice Stat.,,
1,AP Points,1205,00,01,193.09,11.03,,Service Lkr.,,
1,AP Points,1204,00,01,194.47,18.44,,Staff,,
1,AP Points,1203,00,01,201.75,11.92,,Staff,,
1,AP Points,1202,00,01,202.00,26.01,,Staff,,
1,AP Points,1201,00,01,209.43,18.50,,Tailor Shop,,
