Count,Name,APREF,BUILDING#,FLOOR,Position X,Position Y
1,AP Target,REF_B0_F8_1,00,08,0.00,0.00
1,AP Target,REF_B0_F8_2,00,08,256.50,38.00

Count,Name,FLOOR#,POI#,POI_CAT,BUILDING#,VISIBILTY,End X,End Y,Start X,Start Y
1,IP_POI#,08,PUU00088000,Cabin,00,N,,,,
1,Line,,,,,,210.39,24.44,210.37,31.58
1,Line,,,,,,205.85,24.44,210.39,24.44
1,Line,,,,,,210.37,31.58,209.45,34.07
1,Line,,,,,,209.45,34.07,205.87,34.05
1,Line,,,,,,205.87,34.05,205.85,24.44

1,IP_POI#,08,PUU00088001,Cabin,00,N,,,,
1,Line,,,,,,205.21,24.25,205.21,34.46
1,Line,,,,,,200.26,24.25,205.21,24.25
1,Line,,,,,,205.21,34.46,200.26,34.46
1,Line,,,,,,200.26,34.46,200.26,24.25

1,IP_POI#,08,PUU00088002,Cabin,00,N,,,,
1,Line,,,,,,194.86,24.25,199.81,24.25
1,Line,,,,,,199.81,34.76,194.86,34.76
1,Line,,,,,,199.81,24.25,199.81,34.76
1,Line,,,,,,194.86,34.76,194.86,24.25

1,IP_POI#,08,PUU00088004,Cabin,00,N,,,,
1,Line,,,,,,194.41,24.25,194.41,34.76
1,Line,,,,,,194.41,34.76,189.46,34.76
1,Line,,,,,,189.46,34.76,189.46,24.25
1,Line,,,,,,189.46,24.25,194.41,24.25

1,IP_POI#,08,PUU00088006,Cabin,00,N,,,,
1,Line,,,,,,189.04,26.97,189.04,34.76
1,Line,,,,,,189.04,34.76,184.09,34.76
1,Line,,,,,,184.09,34.76,184.09,26.97
1,Line,,,,,,184.09,26.97,189.04,26.97

1,IP_POI#,08,PUU00088008,Cabin,00,N,,,,
1,Line,,,,,,183.18,26.97,183.18,34.76
1,Line,,,,,,183.18,34.76,178.23,34.76
1,Line,,,,,,178.23,34.76,178.23,26.97
1,Line,,,,,,178.23,26.97,183.18,26.97

1,IP_POI#,08,PUU00088010,Cabin,00,N,,,,
1,Line,,,,,,177.79,26.97,177.79,34.76
1,Line,,,,,,177.79,34.76,172.83,34.76
1,Line,,,,,,172.83,34.76,172.83,26.97
1,Line,,,,,,172.83,26.97,177.79,26.97

1,IP_POI#,08,PUU00088011,Cabin,00,N,,,,
1,Line,,,,,,169.71,19.37,169.71,25.05
1,Line,,,,,,167.46,19.37,169.71,19.37
1,Line,,,,,,169.71,25.05,167.46,25.05
1,Line,,,,,,167.46,25.05,167.46,19.37

1,IP_POI#,08,PUU00088012,Cabin,00,N,,,,
1,Line,,,,,,172.39,26.97,172.39,34.76
1,Line,,,,,,172.39,34.76,167.43,34.76
1,Line,,,,,,167.43,34.76,167.43,26.97
1,Line,,,,,,167.43,26.97,172.39,26.97

1,IP_POI#,08,PUU00088013,Cabin,00,N,,,,
1,Line,,,,,,164.76,25.05,164.76,19.37
1,Line,,,,,,164.76,19.37,167.01,19.37
1,Line,,,,,,167.01,25.05,164.76,25.05
1,Line,,,,,,167.01,19.37,167.01,25.05

1,IP_POI#,08,PUU00088014,Cabin,00,N,,,,
1,Line,,,,,,166.99,26.97,166.99,34.76
1,Line,,,,,,166.99,34.76,162.03,34.76
1,Line,,,,,,162.03,34.76,162.03,26.97
1,Line,,,,,,162.03,26.97,166.99,26.97

1,IP_POI#,08,PUU00088015,Cabin,00,N,,,,
1,Line,,,,,,162.01,19.37,164.26,19.37
1,Line,,,,,,164.26,19.37,164.26,25.05
1,Line,,,,,,164.26,25.05,162.01,25.05
1,Line,,,,,,162.01,25.05,162.01,19.37

1,IP_POI#,08,PUU00088016,Cabin,00,N,,,,
1,Line,,,,,,161.59,26.97,161.59,34.76
1,Line,,,,,,161.59,34.76,156.64,34.76
1,Line,,,,,,156.64,34.76,156.64,26.97
1,Line,,,,,,156.64,26.97,161.59,26.97

1,IP_POI#,08,PUU00088017,Cabin,00,N,,,,
1,Line,,,,,,161.56,19.40,161.56,25.07
1,Line,,,,,,159.31,19.40,161.56,19.40
1,Line,,,,,,159.31,25.07,159.31,19.40
1,Line,,,,,,161.56,25.07,159.31,25.07

