Count,Name,APREF,BUILDING,FLOOR,Position X,Position Y,SHOP#,SHOP_NAME,WB,BUILDING#
1,AP Target,REF_B0_F8_2,,08,256.50,38.00,,,,00
1,AP Target,REF_B0_F8_1,,08,0.00,0.00,,,,00
1,AP Points,8655,00,08,27.21,9.99,8586,Cabin,,
1,AP Points,8654,00,08,27.03,19.11,8086,Cabin,,
1,AP Points,8653,00,08,27.20,28.02,8078,Cabin,,
1,AP Points,8652,00,08,33.87,12.02,8582,Cabin,,
1,AP Points,8651,00,08,33.98,25.94,8076,Cabin,,
1,AP Points,8650,00,08,40.77,6.97,8578,Cabin,,
1,AP Points,8649,00,08,40.92,31.64,8072,Cabin,,
1,AP Points,8648,00,08,44.02,12.04,8576,Cabin,,
1,AP Points,8647,00,08,43.86,26.01,8070,Cabin,,
1,AP Points,8546,00,08,54.65,11.91,8570,Cabin,,
1,AP Points,8544,00,08,59.96,7.16,8568,Cabin,,
1,AP Points,8543,00,08,59.52,30.87,8062,Cabin,,
1,AP Points,8542,00,08,65.93,11.96,8564,Cabin,,
1,AP Points,8541,00,08,65.94,26.19,8058,Cabin,,
1,AP Points,8540,00,08,75.23,11.99,8558,Cabin,,
1,AP Points,8539,00,08,77.03,26.12,8052,Cabin,,
1,AP Points,8538,00,08,81.92,12.11,8556,Cabin,,
1,AP Points,8537,00,08,82.73,26.25,8048,Cabin,,
1,AP Points,8536,00,08,88.62,11.87,8552,Cabin,,
1,AP Points,8535,00,08,87.50,26.01,8046,Cabin,,
1,AP Points,8534,00,08,92.42,6.97,8550,Cabin,,
1,AP Points,8533,00,08,92.00,31.97,8044,Cabin,,
1,AP Points,8432,00,08,99.39,11.92,8546,Cabin,,
1,AP Points,8431,00,08,97.72,26.14,8040,Cabin,,
1,AP Points,8430,00,08,106.70,7.35,8542,Cabin,,
1,AP Points,8429,00,08,106.50,30.73,8036,Cabin,,
1,AP Points,8428,00,08,114.49,5.92,8538,Cabin,,
1,AP Points,8427,00,08,114.64,31.37,,Future Cruise and Internet,,
1,AP Points,8426,00,08,119.50,5.99,8534,Cabin,,
1,AP Points,8425,00,08,119.67,31.81,,Future Cruise and Internet,,
1,AP Points,8424,00,08,128.66,7.03,8532,Cabin,,
1,AP Points,8423,00,08,128.63,29.60,8032,Cabin,,
1,AP Points,8422,00,08,135.11,12.20,8528,Cabin,,
1,AP Points,8421,00,08,134.61,25.91,8028,Cabin,,
1,AP Points,8320,00,08,139.96,7.27,8526,Cabin,,
1,AP Points,8319,00,08,139.46,31.01,8026,Cabin,,
1,AP Points,8318,00,08,150.98,12.01,8520,Cabin,,
1,AP Points,8317,00,08,151.11,25.95,8020,Cabin,,
1,AP Points,8316,00,08,159.08,6.73,8516,Cabin,,
1,AP Points,8315,00,08,158.86,30.66,8016,Cabin,,
1,AP Points,8314,00,08,162.04,11.98,8514,Cabin,,
1,AP Points,8313,00,08,161.85,25.87,8015,Cabin,,
1,AP Points,8312,00,08,170.35,6.63,8512,Cabin,,
1,AP Points,8311,00,08,170.43,26.15,8012,Cabin,,
1,AP Points,8310,00,08,170.09,30.75,8012,Cabin,,
1,AP Points,8309,00,08,181.89,6.55,8508,Cabin,,
1,AP Points,8308,00,08,181.33,30.90,8008,Cabin,,
1,AP Points,8207,00,08,192.17,6.66,8504,Cabin,,
1,AP Points,8206,00,08,192.34,31.15,8004,Cabin,,
1,AP Points,8205,00,08,198.15,14.80,8502,Cabin,,
1,AP Points,8204,00,08,197.93,23.32,8002,Cabin,,
1,AP Points,8203,00,08,203.75,8.01,8500,Cabin,,
1,AP Points,8202,00,08,203.03,31.21,8001,Cabin,,
1,AP Points,8201,00,08,213.76,18.20,,Wheelhouse,,
1,AP Points,0845,00,08,55.10,26.04,PU00088064,Cabin,,
