Count,Name,APREF,BUILDING#,FLOOR,Position X,Position Y
1,AP Target,REF_B0_F3_1,00,03,0.00,0.00
1,AP Target,REF_B0_F3_2,00,03,256.50,38.00

Count,Name,FLOOR#,POI#,POI_CAT,BUILDING#,VISIBILTY,End X,End Y,Start X,Start Y
1,IP_POI#,03,PQU0003D3QUPF,PORT FRONT,00,N,,,,
1,Line,,,,,,224.25,29.58,231.83,27.19
1,Line,,,,,,218.37,30.81,224.25,29.58
1,Line,,,,,,231.83,27.19,239.75,24.68
1,Line,,,,,,246.47,22.15,250.85,19.23
1,Line,,,,,,239.75,24.68,246.47,22.15
1,Line,,,,,,210.18,32.60,218.37,30.81
1,Line,,,,,,126.30,19.20,126.30,34.31
1,Line,,,,,,250.85,19.23,126.30,19.20
1,Line,,,,,,126.30,34.31,190.39,34.28
1,Line,,,,,,201.08,34.00,210.18,32.60
1,Line,,,,,,190.39,34.28,201.08,34.00

1,IP_POI#,03,PQU0003D3QUPR,PORT REAR,00,N,,,,
1,Line,,,,,,14.12,32.61,17.99,34.31
1,Line,,,,,,10.65,30.20,14.12,32.61
1,Line,,,,,,125.90,34.30,125.90,19.20
1,Line,,,,,,17.99,34.31,125.90,34.30
1,Line,,,,,,8.09,27.55,10.65,30.20
1,Line,,,,,,4.15,19.20,4.96,21.84
1,Line,,,,,,125.90,19.20,4.15,19.20
1,Line,,,,,,6.01,24.23,8.09,27.55
1,Line,,,,,,4.96,21.84,6.01,24.23

1,IP_POI#,03,PQU0003D3QUSBF,STARBOARD FRONT,00,N,,,,
1,Line,,,,,,231.83,10.81,239.75,13.32
1,Line,,,,,,224.25,8.42,231.83,10.81
1,Line,,,,,,239.75,13.32,246.47,15.85
1,Line,,,,,,126.30,18.81,126.30,3.71
1,Line,,,,,,246.47,15.85,250.85,18.77
1,Line,,,,,,218.37,7.19,224.25,8.42
1,Line,,,,,,201.07,4.00,210.18,5.41
1,Line,,,,,,250.85,18.77,126.30,18.81
1,Line,,,,,,210.18,5.41,218.37,7.19
1,Line,,,,,,126.30,3.71,190.38,3.72
1,Line,,,,,,190.38,3.72,201.07,4.00

1,IP_POI#,03,PQU0003D3QUSBR,STARBOARD REAR,00,N,,,,
1,Line,,,,,,6.18,13.46,8.96,9.61
1,Line,,,,,,8.96,9.61,11.65,7.09
1,Line,,,,,,4.15,18.80,4.93,16.37
1,Line,,,,,,4.93,16.37,6.18,13.46
1,Line,,,,,,11.65,7.09,15.65,4.75
1,Line,,,,,,125.90,3.70,125.90,18.80
1,Line,,,,,,125.90,18.80,4.15,18.80
1,Line,,,,,,15.65,4.75,19.60,3.69
1,Line,,,,,,19.60,3.69,125.90,3.70
