Count,Name,APREF,BUILDING,FLOOR,Position X,Position Y,SHOP#,SHOP_NAME,WB,BUILDING#
1,AP Target,REF_B0_F3_2,,03,256.50,38.00,,,,00
1,AP Target,REF_B0_F3_1,,03,0.00,0.00,,,,00
1,AP Points,3653,00,03,27.38,13.67,,Staff Quarters,,
1,AP Points,3652,00,03,27.21,24.85,,Staff,,
1,AP Points,3651,00,03,33.31,9.30,3610,Cabin,,
1,AP Points,3650,00,03,33.30,28.44,3112,Cabin,,
1,AP Points,3649,00,03,38.16,18.88,,Staff,,
1,AP Points,3648,00,03,44.20,9.30,3600,Cabin,,
1,AP Points,3647,00,03,44.09,28.61,3104,Cabin,,
1,AP Points,3546,00,03,50.76,4.82,3596,Cabin,,
1,AP Points,3545,00,03,52.03,20.56,3795,Cabin,,
1,AP Points,3544,00,03,55.54,9.33,3594,Cabin,,
1,AP Points,3543,00,03,55.23,28.61,3098,Cabin,,
1,AP Points,3541,00,03,65.60,16.10,3785,Cabin,,
1,AP Points,3540,00,03,65.44,28.48,3090,Cabin,,
1,AP Points,3539,00,03,66.90,9.39,3584,Cabin,,
1,AP Points,3538,00,03,73.06,4.70,3580,Cabin,,
1,AP Points,3537,00,03,70.99,33.41,3086,Cabin,,
1,AP Points,3536,00,03,77.41,9.46,3576,Cabin,,
1,AP Points,3535,00,03,77.04,28.68,3082,Cabin,,
1,AP Points,3534,00,03,88.37,9.41,3568,Cabin,,
1,AP Points,3533,00,03,88.02,28.64,3072,Cabin,,
1,AP Points,3432,00,03,94.75,4.93,3564,Cabin,,
1,AP Points,3431,00,03,94.88,33.23,3068,Cabin,,
1,AP Points,3430,00,03,99.11,9.32,3560,Cabin,,
1,AP Points,3429,00,03,99.08,28.68,3066,Cabin,,
1,AP Points,3428,00,03,109.99,9.26,3554,Cabin,,
1,AP Points,3427,00,03,109.96,28.68,3056,Cabin,,
1,AP Points,3426,00,03,114.26,4.91,3552,Cabin,,
1,AP Points,3425,00,03,120.87,9.54,3548,Cabin,,
1,AP Points,3424,00,03,121.32,14.53,,Lift,,
1,AP Points,3423,00,03,120.78,28.46,3048,Cabin,,
1,AP Points,3422,00,03,122.04,24.60,,,,
1,AP Points,3421,00,03,128.96,18.96,,,,
1,AP Points,3420,00,03,131.68,9.40,3556,Cabin,,
1,AP Points,3419,00,03,132.94,28.76,3041,Cabin,,
1,AP Points,3418,00,03,134.66,19.11,,,,
1,AP Points,3317,00,03,140.43,9.43,3534,Cabin,,
1,AP Points,3316,00,03,139.95,28.65,3035,Cabin,,
1,AP Points,3315,00,03,151.23,9.47,3526,Cabin,,
1,AP Points,3314,00,03,150.80,16.56,3727,Cabin,,
1,AP Points,3313,00,03,149.96,28.65,3028,Cabin,,
1,AP Points,3312,00,03,155.69,4.53,3524,Cabin,,
1,AP Points,3311,00,03,155.32,33.32,3024,Cabin,,
1,AP Points,3310,00,03,160.33,16.36,3719,Cabin,,
1,AP Points,3309,00,03,161.86,9.56,3518,Cabin,,
1,AP Points,3308,00,03,161.70,28.66,3019,Cabin,,
1,AP Points,3307,00,03,172.56,9.27,3510,Cabin,,
1,AP Points,3306,00,03,172.55,28.53,3010,Cabin,,
1,AP Points,3305,00,03,180.78,9.14,3504,Cabin,,
1,AP Points,3304,00,03,180.95,28.62,3004,Cabin,,
1,AP Points,3203,00,03,184.74,9.53,3502,Cabin,,
1,AP Points,3202,00,03,187.24,28.66,3000,Cabin,,
1,AP Points,3201,00,03,191.93,6.18,3500,Cabin,,
1,AP Points,0342,00,03,57.56,15.99,3793,Cabin,,
