Count,Name,APREF,BUILDING#,FLOOR,Position X,Position Y
1,AP Target,REF_B0_F3_1,00,03,0.00,0.00
1,AP Target,REF_B0_F3_2,00,03,256.50,38.00

Count,Name,FLOOR#,POI#,POI_CAT,BUILDING#,VISIBILTY,End X,End Y,Start X,Start Y
1,IP_POI#,03,PSU00030001,Staff Quarters,00,N,,,,
1,Line,,,,,,26.65,28.51,22.99,28.51
1,Line,,,,,,22.99,28.51,22.99,30.27
1,Line,,,,,,22.99,30.27,26.65,30.27
1,Line,,,,,,26.65,30.27,26.65,28.51

1,IP_POI#,03,PSU00030002,Staff Quarters,00,N,,,,
1,Line,,,,,,26.64,28.19,26.64,26.43
1,Line,,,,,,22.98,26.43,22.98,28.19
1,Line,,,,,,22.98,28.19,26.64,28.19
1,Line,,,,,,26.64,26.43,22.98,26.43

1,IP_POI#,03,PSU00030003,Staff Quarters,00,N,,,,
1,Line,,,,,,26.65,26.11,26.65,24.35
1,Line,,,,,,22.99,24.35,22.99,26.11
1,Line,,,,,,22.99,26.11,26.65,26.11
1,Line,,,,,,26.65,24.35,22.99,24.35

1,IP_POI#,03,PSU00030004,Staff Quarters,00,N,,,,
1,Line,,,,,,26.65,22.27,22.99,22.27
1,Line,,,,,,22.99,22.27,22.99,24.03
1,Line,,,,,,22.99,24.03,26.65,24.03
1,Line,,,,,,26.65,24.03,26.65,22.27

1,IP_POI#,03,PSU00030005,Staff Quarters,00,N,,,,
1,Line,,,,,,22.99,20.19,22.99,21.95
1,Line,,,,,,26.65,20.19,22.99,20.19
1,Line,,,,,,26.65,21.95,26.65,20.19
1,Line,,,,,,22.99,21.95,26.65,21.95

1,IP_POI#,03,PSU00030006,Staff Quarters,00,N,,,,
1,Line,,,,,,26.65,19.87,26.65,18.11
1,Line,,,,,,22.99,18.11,22.99,19.87
1,Line,,,,,,22.99,19.87,26.65,19.87
1,Line,,,,,,26.65,18.11,22.99,18.11

1,IP_POI#,03,PSU00030007,Staff Quarters,00,N,,,,
1,Line,,,,,,26.65,17.79,26.65,16.03
1,Line,,,,,,22.99,16.03,22.99,17.79
1,Line,,,,,,22.99,17.79,26.65,17.79
1,Line,,,,,,26.65,16.03,22.99,16.03

1,IP_POI#,03,PSU00030008,Staff Quarters,00,N,,,,
1,Line,,,,,,26.65,13.95,22.99,13.95
1,Line,,,,,,22.99,13.95,22.99,15.71
1,Line,,,,,,22.99,15.71,26.65,15.71
1,Line,,,,,,26.65,15.71,26.65,13.95

1,IP_POI#,03,PSU00030009,Staff Quarters,00,N,,,,
1,Line,,,,,,22.99,11.87,22.99,13.63
1,Line,,,,,,26.65,13.63,26.65,11.87
1,Line,,,,,,26.65,11.87,22.99,11.87
1,Line,,,,,,22.99,13.63,26.65,13.63

1,IP_POI#,03,PSU00030010,Staff Quarters,00,N,,,,
1,Line,,,,,,26.65,9.79,22.99,9.79
1,Line,,,,,,22.99,9.79,22.99,11.55
1,Line,,,,,,22.99,11.55,26.65,11.55
1,Line,,,,,,26.65,11.55,26.65,9.79

1,IP_POI#,03,PSU00030011,Staff Quarters,00,N,,,,
1,Line,,,,,,22.99,9.47,26.65,9.47
1,Line,,,,,,22.99,7.71,22.99,9.47
1,Line,,,,,,26.65,7.71,22.99,7.71
1,Line,,,,,,26.65,9.47,26.65,7.71

1,IP_POI#,03,PSU00030012,Staff Quarters,00,N,,,,
1,Line,,,,,,31.92,25.85,28.26,25.85
1,Line,,,,,,28.26,25.85,28.26,27.61
1,Line,,,,,,28.26,27.61,31.92,27.61
1,Line,,,,,,31.92,27.61,31.92,25.85

1,IP_POI#,03,PSU00030013,Staff Quarters,00,N,,,,
1,Line,,,,,,31.99,23.82,28.33,23.82
1,Line,,,,,,28.33,23.82,28.33,25.58
1,Line,,,,,,28.33,25.58,31.99,25.58
1,Line,,,,,,31.99,25.58,31.99,23.82

1,IP_POI#,03,PSU00030014,Staff Quarters,00,N,,,,
1,Line,,,,,,32.00,21.76,28.34,21.76
1,Line,,,,,,28.34,21.76,28.34,23.52
1,Line,,,,,,28.34,23.52,32.00,23.52
1,Line,,,,,,32.00,23.52,32.00,21.76

1,IP_POI#,03,PSU00030015,Staff Quarters,00,N,,,,
1,Line,,,,,,32.01,19.65,28.35,19.65
1,Line,,,,,,28.35,19.65,28.35,21.41
1,Line,,,,,,28.35,21.41,32.01,21.41
1,Line,,,,,,32.01,21.41,32.01,19.65

1,IP_POI#,03,PSU00030016,Staff Quarters,00,N,,,,
1,Line,,,,,,35.74,23.56,35.74,19.90
1,Line,,,,,,35.74,19.90,33.98,19.90
1,Line,,,,,,33.98,23.56,35.74,23.56
1,Line,,,,,,33.98,19.90,33.98,23.56

1,IP_POI#,03,PSU00030017,Staff Quarters,00,N,,,,
1,Line,,,,,,37.82,23.56,37.82,19.90
1,Line,,,,,,37.82,19.90,36.06,19.90
1,Line,,,,,,36.06,23.56,37.82,23.56
