Count,Name,APREF,BUILDING,FLOOR,Position X,Position Y,SHOP#,SHOP_NAME,WB,BUILDING#
1,AP Target,REF_B0_F7_2,,07,256.50,38.00,,,,00
1,AP Target,REF_B0_F7_1,,07,0.00,0.00,,,,00
1,AP Points,7665,00,07,21.88,13.50,7638,Cabin,,
1,AP Points,7664,00,07,21.90,24.78,7138,Cabin,,
1,AP Points,7663,00,07,24.74,9.51,7632,Cabin,,
1,AP Points,7662,00,07,24.63,19.09,7642,Cabin,,
1,AP Points,7661,00,07,24.77,28.28,7136,Cabin,,
1,AP Points,7660,00,07,33.52,11.71,7626,Cabin,,
1,AP Points,7659,00,07,33.41,25.97,7126,Cabin,,
1,AP Points,7658,00,07,38.13,6.95,7624,Cabin,,
1,AP Points,7657,00,07,37.90,31.48,7124,Cabin,,
1,AP Points,7656,00,07,44.42,11.75,7618,Cabin,,
1,AP Points,7655,00,07,44.24,26.13,7120,Cabin,,
1,AP Points,7553,00,07,51.59,30.95,7114,Cabin,,
1,AP Points,7552,00,07,55.64,11.78,7610,Cabin,,
1,AP Points,7551,00,07,55.63,26.09,7101,Cabin,,
1,AP Points,7549,00,07,66.42,25.89,7104,Cabin,,
1,AP Points,7547,00,07,72.32,31.22,7098,Cabin,,
1,AP Points,7546,00,07,77.22,11.68,7594,Cabin,,
1,AP Points,7545,00,07,77.22,25.89,7087,Cabin,,
1,AP Points,7544,00,07,82.20,6.41,7592,Cabin,,
1,AP Points,7543,00,07,81.78,31.15,7092,Cabin,,
1,AP Points,7542,00,07,87.36,11.84,7588,Cabin,,
1,AP Points,7541,00,07,87.50,25.93,7088,Cabin,,
1,AP Points,7440,00,07,94.77,6.79,7582,Cabin,,
1,AP Points,7439,00,07,94.92,30.66,7082,Cabin,,
1,AP Points,7438,00,07,99.74,11.96,7578,Cabin,,
1,AP Points,7437,00,07,99.73,25.93,7078,Cabin,,
1,AP Points,7436,00,07,108.87,7.54,7572,Cabin,,
1,AP Points,7435,00,07,108.92,30.69,7072,Cabin,,
1,AP Points,7434,00,07,115.90,6.59,7566,Cabin,,
1,AP Points,7433,00,07,116.96,31.44,7066,Cabin,,
1,AP Points,7432,00,07,122.82,6.92,7562,Cabin,,
1,AP Points,7431,00,07,124.05,31.48,7062,Cabin,,
1,AP Points,7430,00,07,131.14,7.35,7556,Cabin,,
1,AP Points,7429,00,07,132.43,29.95,7056,Cabin,,
1,AP Points,7328,00,07,140.36,11.73,7552,Cabin,,
1,AP Points,7327,00,07,140.18,25.95,7049,Cabin,,
1,AP Points,7326,00,07,145.54,11.84,7546,Cabin,,
1,AP Points,7325,00,07,145.63,26.04,7045,Cabin,,
1,AP Points,7324,00,07,150.95,11.77,7542,Cabin,,
1,AP Points,7323,00,07,150.90,26.10,7041,Cabin,,
1,AP Points,7322,00,07,156.12,7.39,7538,Cabin,,
1,AP Points,7321,00,07,155.77,31.07,7040,Cabin,,
1,AP Points,7320,00,07,161.94,11.80,7534,Cabin,,
1,AP Points,7319,00,07,161.74,25.93,7033,Cabin,,
1,AP Points,7318,00,07,166.48,6.91,7532,Cabin,,
1,AP Points,7317,00,07,167.61,31.43,7030,Cabin,,
1,AP Points,7316,00,07,172.60,12.01,7526,Cabin,,
1,AP Points,7315,00,07,172.49,25.82,7026,Cabin,,
1,AP Points,7314,00,07,183.01,6.42,7520,Cabin,,
1,AP Points,7313,00,07,182.91,31.78,7020,Cabin,,
1,AP Points,7212,00,07,188.23,11.99,7514,Cabin,,
1,AP Points,7211,00,07,187.56,25.96,7014,Cabin,,
1,AP Points,7210,00,07,195.85,5.96,7510,Cabin,,
1,AP Points,7209,00,07,195.91,31.21,7010,Cabin,,
1,AP Points,7208,00,07,199.47,11.88,7508,Cabin,,
1,AP Points,7207,00,07,199.88,25.88,7005,Cabin,,
1,AP Points,7206,00,07,207.16,11.96,7500,Cabin,,
1,AP Points,7205,00,07,207.98,25.88,7000,Cabin,,
1,AP Points,7204,00,07,213.49,7.10,,Captain Suite,,
1,AP Points,7203,00,07,213.18,18.91,,Chief Engineers Suite,,
1,AP Points,7202,00,07,214.96,30.67,,Hotel Manager,,
1,AP Points,7201,00,07,218.42,18.96,,Chief Engineers Suite,,
1,AP Points,0754,00,07,51.18,7.05,7614,Cabin,,
1,AP Points,0750,00,07,66.53,11.73,7602,Cabin,,
1,AP Points,0748,00,07,73.05,6.78,7598,Cabin,,
